"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",0,0,0,1,0
"2",23.8423302028592,0,0,1,0.1
"3",41.6907360542624,0,0,1,0.2
"4",55.6013428784933,0,0,1,0.3
"5",66.7798786722289,0,0,1,0.4
"6",75.9816558961975,0,0,1,0.5
"7",83.6561286858777,0,0,1,0.6
"8",90.1078150827759,0,0,1,0.7
"9",95.50084542941,0,0,1,0.8
"10",99.8842310796269,0,0,1,0.9
"11",102.763668734793,0,0,1,1
"12",0,0,0.02,1,0
"13",23.8423302028592,0,0.02,1,0.1
"14",41.6907360542624,0,0.02,1,0.2
"15",55.6013428784933,0,0.02,1,0.3
"16",66.7731104922078,0,0.02,1,0.4
"17",75.9265914021108,0,0.02,1,0.5
"18",83.5536186396356,0,0.02,1,0.6
"19",89.952475137822,0,0.02,1,0.7
"20",95.3003631962508,0,0.02,1,0.8
"21",99.6344265831481,0,0.02,1,0.9
"22",102.48186988817,0,0.02,1,1
"23",0,0,0.04,1,0
"24",23.8292438213578,0,0.04,1,0.1
"25",41.6417722013114,0,0.04,1,0.2
"26",55.4658513984108,0,0.04,1,0.3
"27",66.5146350979405,0,0.04,1,0.4
"28",75.5374983068612,0,0.04,1,0.5
"29",83.0121788942455,0,0.04,1,0.6
"30",89.2559401406794,0,0.04,1,0.7
"31",94.4592170743042,0,0.04,1,0.8
"32",98.6514056479805,0,0.04,1,0.9
"33",101.381521538574,0,0.04,1,1
"34",0,0,0.06,1,0
"35",23.6838829640829,0,0.06,1,0.1
"36",41.3175858158677,0,0.06,1,0.2
"37",54.9656755909693,0,0.06,1,0.3
"38",65.8334940672934,0,0.06,1,0.4
"39",74.6615303524791,0,0.06,1,0.5
"40",81.9307728052582,0,0.06,1,0.6
"41",87.9481893063744,0,0.06,1,0.7
"42",92.9159761903919,0,0.06,1,0.8
"43",96.8905498943349,0,0.06,1,0.9
"44",99.4274350291123,0,0.06,1,1
"45",0,0,0.08,1,0
"46",23.2998928809591,0,0.08,1,0.1
"47",40.6103616046357,0,0.08,1,0.2
"48",53.9598247689406,0,0.08,1,0.3
"49",64.533209163079,0,0.08,1,0.4
"50",73.0762725081627,0,0.08,1,0.5
"51",80.0416507062208,0,0.08,1,0.6
"52",85.746962995418,0,0.08,1,0.7
"53",90.3866989058684,0,0.08,1,0.8
"54",94.0412255306355,0,0.08,1,0.9
"55",96.2979158688953,0,0.08,1,1
"56",0,0,0.1,1,0
"57",22.5949168050139,0,0.1,1,0.1
"58",39.3285055175283,0,0.1,1,0.2
"59",52.1632934718098,0,0.1,1,0.3
"60",62.2691314322058,0,0.1,1,0.4
"61",70.3475718741033,0,0.1,1,0.5
"62",76.8670957516331,0,0.1,1,0.6
"63",82.1225038090229,0,0.1,1,0.7
"64",86.3123479900619,0,0.1,1,0.8
"65",89.5295025659598,0,0.1,1,0.9
"66",91.4028194013951,0,0.1,1,1
"67",0,0,0.12,1,0
"68",21.346375153552,0,0.12,1,0.1
"69",37.0549833244772,0,0.12,1,0.2
"70",49.0163575341857,0,0.12,1,0.3
"71",58.3307188953261,0,0.12,1,0.4
"72",65.6724928422937,0,0.12,1,0.5
"73",71.4951015154951,0,0.12,1,0.6
"74",76.0876598151088,0,0.12,1,0.7
"75",79.6469267607813,0,0.12,1,0.8
"76",82.2747767007948,0,0.12,1,0.9
"77",83.625489255936,0,0.12,1,1
"78",0,0,0.14,1,0
"79",19.0085900809051,0,0.14,1,0.1
"80",32.8502334883829,0,0.14,1,0.2
"81",43.2244430767377,0,0.14,1,0.3
"82",51.1444058237835,0,0.14,1,0.4
"83",57.2406067269364,0,0.14,1,0.5
"84",61.928682606641,0,0.14,1,0.6
"85",65.4954216911007,0,0.14,1,0.7
"86",68.1305339213011,0,0.14,1,0.8
"87",69.9269452912397,0,0.14,1,0.9
"88",70.5619174451761,0,0.14,1,1
"89",0,0,0.16,1,0
"90",13.9804274631317,0,0.16,1,0.1
"91",23.8409071028023,0,0.16,1,0.2
"92",30.939248359011,0,0.16,1,0.3
"93",36.0794501069439,0,0.16,1,0.4
"94",39.7817006807734,0,0.16,1,0.5
"95",42.3936547115754,0,0.16,1,0.6
"96",44.1438923911698,0,0.16,1,0.7
"97",45.1629663764933,0,0.16,1,0.8
"98",45.4208761211017,0,0.16,1,0.9
"99",45.4208761211017,0,0.16,1,1
"100",0,0,0.18,1,0
"101",4.59096445768124e-140,3.32141758314564e-139,0.18,1,0.1
"102",7.06774073155348e-140,5.11328688237173e-139,0.18,1,0.2
"103",8.46664978566994e-140,6.12535333864545e-139,0.18,1,0.3
"104",9.28409471923439e-140,6.71674889411564e-139,0.18,1,0.4
"105",9.77400241780416e-140,7.07118161934085e-139,0.18,1,0.5
"106",1.0071672195376e-139,7.28653628878158e-139,0.18,1,0.6
"107",1.0253158401129e-139,7.41783581863918e-139,0.18,1,0.7
"108",1.03611433038961e-139,7.49595948046904e-139,0.18,1,0.8
"109",1.04203248283751e-139,7.53877544164971e-139,0.18,1,0.9
"110",1.04403192921196e-139,7.5532408037885e-139,0.18,1,1
"111",0,0,0.2,1,0
"112",0,0,0.2,1,0.1
"113",0,0,0.2,1,0.2
"114",0,0,0.2,1,0.3
"115",0,0,0.2,1,0.4
"116",0,0,0.2,1,0.5
"117",0,0,0.2,1,0.6
"118",0,0,0.2,1,0.7
"119",0,0,0.2,1,0.8
"120",0,0,0.2,1,0.9
"121",0,0,0.2,1,1
