"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",102.763668734793,0,0,0,NA
"2",90.8594584511435,0,0,0.2,NA
"3",74.182839959089,0,0,0.4,NA
"4",49.0811700380792,0,0,0.6,NA
"5",8.32469842697008,0,0,0.8,NA
"6",1.49701890689898e-321,0,0,1,NA
"7",102.48186988817,0,0.02,0,NA
"8",90.3272978373266,0.0706998014143098,0.02,0.2,NA
"9",73.3610441375958,0.120090789311979,0.02,0.4,NA
"10",47.9858551277241,0.110687446003602,0.02,0.6,NA
"11",7.26623843083547,0.019574093316319,0.02,0.8,NA
"12",0,0,0.02,1,NA
"13",101.381521538574,0,0.04,0,NA
"14",89.036844359506,0.0512760509276669,0.04,0.2,NA
"15",71.7502272672945,0.0863832551743523,0.04,0.4,NA
"16",45.6867869518598,0.0904003274490782,0.04,0.6,NA
"17",2.04628953188109,0.00992971469100336,0.04,0.8,NA
"18",0,0,0.04,1,NA
"19",99.4274350291123,0,0.06,0,NA
"20",86.568057067688,0.0395073342985308,0.06,0.2,NA
"21",68.4086265644652,0.0707336244716024,0.06,0.4,NA
"22",40.3911075577655,0.0880726473687501,0.06,0.6,NA
"23",8.32166254240636e-173,0,0.06,0.8,NA
"24",0,0,0.06,1,NA
"25",96.2979158688953,0,0.08,0,NA
"26",82.5438187873394,0.0398461722862029,0.08,0.2,NA
"27",62.7041742432882,0.0776080244395581,0.08,0.4,NA
"28",30.0288286397068,0.102461596590133,0.08,0.6,NA
"29",0,0,0.08,0.8,NA
"30",0,0,0.08,1,NA
"31",91.4028194013951,0,0.1,0,NA
"32",76.2063228829088,0,0.1,0.2,NA
"33",53.0988991486382,0,0.1,0.4,NA
"34",7.16941841204481,0,0.1,0.6,NA
"35",0,0,0.1,0.8,NA
"36",0,0,0.1,1,NA
"37",83.625489255936,0,0.12,0,NA
"38",64.9362813971925,0.0305193855531217,0.12,0.2,NA
"39",32.8579061751256,0.0752707055585707,0.12,0.4,NA
"40",0,0,0.12,0.6,NA
"41",0,0,0.12,0.8,NA
"42",0,0,0.12,1,NA
"43",70.5619174451761,0,0.14,0,NA
"44",43.9622950953391,0.0324187759573937,0.14,0.2,NA
"45",1.60371870191212e-123,1.08833768848223e-122,0.14,0.4,NA
"46",0,0,0.14,0.6,NA
"47",0,0,0.14,0.8,NA
"48",0,0,0.14,1,NA
"49",45.4208761211017,0,0.16,0,NA
"50",8.95712822842724e-73,4.61612461897596e-72,0.16,0.2,NA
"51",0,0,0.16,0.4,NA
"52",0,0,0.16,0.6,NA
"53",0,0,0.16,0.8,NA
"54",0,0,0.16,1,NA
"55",1.04403192921196e-139,7.5532408037885e-139,0.18,0,NA
"56",0,0,0.18,0.2,NA
"57",0,0,0.18,0.4,NA
"58",0,0,0.18,0.6,NA
"59",0,0,0.18,0.8,NA
"60",0,0,0.18,1,NA
"61",0,0,0.2,0,NA
"62",0,0,0.2,0.2,NA
"63",0,0,0.2,0.4,NA
"64",0,0,0.2,0.6,NA
"65",0,0,0.2,0.8,NA
"66",0,0,0.2,1,NA
