"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",102.763668734793,0,0,0,NA
"2",75.3141435533298,0,0,0.2,NA
"3",12.7545156003103,1.02532354402859e-15,0,0.4,NA
"4",1.49701890689898e-321,0,0,0.6,NA
"5",1.49701890689898e-321,0,0,0.8,NA
"6",1.49701890689898e-321,0,0,1,NA
"7",102.48186988817,0,0.02,0,NA
"8",74.7272722577677,0.086770795935462,0.02,0.2,NA
"9",12.32333738812,0.0469091508250686,0.02,0.4,NA
"10",NA,NA,0.02,0.6,NA
"11",NA,NA,0.02,0.8,NA
"12",NA,NA,0.02,1,NA
"13",101.381521538574,0,0.04,0,NA
"14",73.1065006629506,0.106080535542296,0.04,0.2,NA
"15",7.32139422877692,0.0561819451729854,0.04,0.4,NA
"16",NA,NA,0.04,0.6,NA
"17",NA,NA,0.04,0.8,NA
"18",NA,NA,0.04,1,NA
"19",99.4274350291123,0,0.06,0,NA
"20",69.8797917088079,0.0959324544104967,0.06,0.2,NA
"21",9.40398009043691e-81,5.09815637836161e-80,0.06,0.4,NA
"22",NA,NA,0.06,0.6,NA
"23",NA,NA,0.06,0.8,NA
"24",NA,NA,0.06,1,NA
"25",96.2979158688953,0,0.08,0,NA
"26",64.3313731302976,0.122096837328609,0.08,0.2,NA
"27",NA,NA,0.08,0.4,NA
"28",NA,NA,0.08,0.6,NA
"29",NA,NA,0.08,0.8,NA
"30",NA,NA,0.08,1,NA
"31",91.4028194013951,0,0.1,0,NA
"32",54.5715359150542,0,0.1,0.2,NA
"33",NA,NA,0.1,0.4,NA
"34",NA,NA,0.1,0.6,NA
"35",NA,NA,0.1,0.8,NA
"36",NA,NA,0.1,1,NA
"37",83.625489255936,0,0.12,0,NA
"38",35.8407668324633,0.123203269269646,0.12,0.2,NA
"39",NA,NA,0.12,0.4,NA
"40",NA,NA,0.12,0.6,NA
"41",NA,NA,0.12,0.8,NA
"42",NA,NA,0.12,1,NA
"43",70.5619174451761,0,0.14,0,NA
"44",3.90485109744376e-87,2.21143228574106e-86,0.14,0.2,NA
"45",NA,NA,0.14,0.4,NA
"46",NA,NA,0.14,0.6,NA
"47",NA,NA,0.14,0.8,NA
"48",NA,NA,0.14,1,NA
"49",45.4208761211017,0,0.16,0,NA
"50",NA,NA,0.16,0.2,NA
"51",NA,NA,0.16,0.4,NA
"52",NA,NA,0.16,0.6,NA
"53",NA,NA,0.16,0.8,NA
"54",NA,NA,0.16,1,NA
"55",1.04403192921196e-139,7.5532408037885e-139,0.18,0,NA
"56",NA,NA,0.18,0.2,NA
"57",NA,NA,0.18,0.4,NA
"58",NA,NA,0.18,0.6,NA
"59",NA,NA,0.18,0.8,NA
"60",NA,NA,0.18,1,NA
"61",NA,NA,0.2,0,NA
"62",NA,NA,0.2,0.2,NA
"63",NA,NA,0.2,0.4,NA
"64",NA,NA,0.2,0.6,NA
"65",NA,NA,0.2,0.8,NA
"66",NA,NA,0.2,1,NA
