"","Equil.pop","Equil.pop.sd","Equil.pop.se","Equil.harvest","Equil.harvest.sd","Equil.harvest.se","speed","harvest","thresh","steps.harv","steps.move"
"1",0,0,0,0,0,0,0,1,0,101,301
"2",17.9519073462297,0,0,0.74142957927862,0,0,0,1,0.1,101,301
"3",35.8926610245501,0,0,1.46424482452921,0,0,0,1,0.2,101,301
"4",53.8222854381669,0,0,2.16849707352038,0,0,0,1,0.3,101,301
"5",71.74053943353,0,0,2.85423803648659,0,0,0,1,0.4,101,301
"6",89.6463306223392,0,0,3.52152287120175,0,0,0,1,0.5,101,301
"7",107.540438580981,0,0,4.17040323223414,0,0,0,1,0.6,101,301
"8",125.422890267759,0,0,4.80093145341573,0,0,0,1,0.7,101,301
"9",143.293712549912,0,0,5.4131596621591,0,0,0,1,0.8,101,301
"10",161.152932204039,0,0,6.00713978050896,0,0,0,1,0.9,101,301
"11",178.99798407765,0,0,6.58293757617654,0,0,0,1,1,101,301
"12",0,0,0,0,0,0,0.02,1,0,101,301
"13",17.9510909531975,7.56097325968482e-08,4.36532994681459e-09,0.740925863132492,7.5575538780009e-08,4.36335576587892e-09,0.02,1,0.1,101,301
"14",35.8909685989115,1.54916057512607e-07,8.9440827506699e-09,1.46323846732606,1.54663235776571e-07,8.92948608093417e-09,0.02,1,0.2,101,301
"15",53.8196577349521,2.37854126850665e-07,1.37325144165095e-08,2.16698915400117,2.37195639804219e-07,1.36944966491572e-08,0.02,1,0.3,101,301
"16",71.7368284245273,6.26751661312826e-07,3.61855240374005e-08,2.85222939847328,6.16669363341412e-07,3.5603422292616e-08,0.02,1,0.4,101,301
"17",89.6415443693979,7.96507785275092e-07,4.59863984240207e-08,3.51901488449665,7.82406605153397e-07,4.51722664101055e-08,0.02,1,0.5,101,301
"18",107.534518884052,9.71298405025072e-07,5.60779395604679e-08,4.16739702741563,9.52582821994758e-07,5.49973948704087e-08,0.02,1,0.6,101,301
"19",125.415779320743,1.15102934511973e-06,6.64547102250036e-08,4.79742816403441,1.12710587502065e-06,6.50734880348379e-08,0.02,1,0.7,101,301
"20",143.285352938204,1.33560767272511e-06,7.71113449379575e-08,5.40916042465128,1.30588494218245e-06,7.53953022899715e-08,0.02,1,0.8,101,301
"21",161.143266902071,1.52494168183e-06,8.8042549050303e-08,6.00264573411137,1.48883049943369e-06,8.59576689625764e-08,0.02,1,0.9,101,301
"22",178.986719903027,2.81456234947069e-06,1.62498833011789e-07,6.57794967220274,2.6723667524822e-06,1.54289166391901e-07,0.02,1,1,101,301
"23",0,0,0,0,0,0,0.04,1,0,101,301
"24",17.9469773776374,1.07968147425819e-06,6.2335438980202e-08,0.737140439752732,1.01999040560898e-06,5.88891735249181e-08,0.04,1,0.1,101,301
"25",35.8825189066258,2.21507514743853e-06,1.27887423264889e-07,1.45551316081346,2.09169531062992e-06,1.20764085065486e-07,0.04,1,0.2,101,301
"26",53.8066509165417,3.40520437763047e-06,1.96599566407064e-07,2.15517081486284,3.21412622353323e-06,1.85567664036634e-07,0.04,1,0.3,101,301
"27",71.7185175268235,6.89351714515293e-06,3.97997397941735e-07,2.83634563880898,6.27455550325711e-06,3.62261630885074e-07,0.04,1,0.4,101,301
"28",89.6183833985899,8.72884982125343e-06,5.03960379401649e-07,3.49918190936091,7.94165513039202e-06,4.58511672734301e-07,0.04,1,0.5,101,301
"29",107.506400480871,1.06072542972212e-05,6.12410112386346e-07,4.14362358122567,9.64648607046778e-06,5.56940132951855e-07,0.04,1,0.6,101,301
"30",125.38259618527,9.1441396713568e-07,5.27937150076538e-08,4.76972236133695,8.31230440502316e-07,4.79911118582623e-08,0.04,1,0.7,101,302
"31",143.246999876339,1.05596146385469e-06,6.09659635410377e-08,5.37753161476494,9.59487536137317e-07,5.53960387272971e-08,0.04,1,0.8,101,302
"32",161.098524106666,2.14130678916547e-06,1.23628405114226e-07,5.96709610382996,1.93502273628784e-06,1.11718589768383e-07,0.04,1,0.9,101,302
"33",178.936017105679,2.55851180127349e-06,1.47715747719008e-07,6.53849893060425,2.31119911647652e-06,1.33437143204855e-07,0.04,1,1,101,302
"34",0,0,0,0,0,0,0.06,1,0,101,301
"35",17.9403389744602,4.86973511837378e-06,2.81154288147528e-07,0.73083122561757,4.6452268232053e-06,2.68192295682445e-07,0.06,1,0.1,101,301
"36",35.8689108092943,9.9680226045191e-06,5.75504053400738e-07,1.44257645476547,9.50429872855195e-06,5.48730942938809e-07,0.06,1,0.2,101,301
"37",53.7851679697437,1.93955329770196e-05,1.11980161853585e-06,2.13532714992256,1.7832569732915e-05,1.02956389356413e-06,0.06,1,0.3,101,301
"38",71.6890234030359,2.72141555945521e-06,1.5712100058283e-07,2.80939497997583,2.50103147999545e-06,1.4439711982271e-07,0.06,1,0.4,101,302
"39",89.5806651713494,3.45386587829947e-06,1.99409039458106e-07,3.46470327921712,3.17279215582678e-06,1.83181240524933e-07,0.06,1,0.5,101,302
"40",107.460122853976,4.20610389404472e-06,2.42839521546625e-07,4.10130631311099,3.86214231287353e-06,2.22980890398618e-07,0.06,1,0.6,101,302
"41",125.327427021097,4.97761964284658e-06,2.87383004072104e-07,4.71925913527388,4.56859194143591e-06,2.63767778720558e-07,0.06,1,0.7,101,302
"42",143.181529368909,7.77648294783739e-06,4.48975452328245e-07,5.31858893556651,6.99149887929216e-06,4.0365437599983e-07,0.06,1,0.8,101,302
"43",161.022166094208,9.53850033158891e-06,5.50705573410819e-07,5.8999882402515,8.43684500312933e-06,4.87101473366787e-07,0.06,1,0.9,101,302
"44",178.85007045802,1.08433520652152e-05,6.26041223376988e-07,6.46319646097343,9.58690152391346e-06,5.53500017552587e-07,0.06,1,1,101,302
"45",0,0,0,0,0,0,0.08,1,0,101,301
"46",17.9311599531317,1.5640512576154e-05,9.03005414610622e-07,0.722055785056257,1.47440807753319e-05,8.51249900459145e-07,0.08,1,0.1,101,301
"47",35.8498294816461,4.146677470491e-06,2.39408535383054e-07,1.42469356664076,3.85058909456867e-06,2.22313865028786e-07,0.08,1,0.2,101,302
"48",53.7557998371615,6.57676715661607e-06,3.79709828826978e-07,2.1082198449466,6.10450794537032e-06,3.52443930552977e-07,0.08,1,0.3,101,302
"49",71.6491853234149,9.16790816216433e-06,5.29309424533134e-07,2.7726107239207,8.50589455726049e-06,4.91088051233292e-07,0.08,1,0.4,101,302
"50",89.5300192955193,1.16202254616874e-05,6.70894029834937e-07,3.41792457212919,1.07764595729936e-05,6.22179183537896e-07,0.08,1,0.5,101,302
"51",107.398207366321,1.62739194666263e-05,9.395751784827e-07,4.04421408741344,1.47839848001807e-05,8.53553760407965e-07,0.08,1,0.6,101,302
"52",125.252653076376,2.12808866019733e-05,1.22865256082432e-06,4.65148927425031,1.93242820959921e-05,1.11568794700173e-06,0.08,1,0.7,101,302
"53",143.09373435306,2.56393216711258e-05,1.48028692686639e-06,5.24037587413449,2.29033206229037e-05,1.32232383269697e-06,0.08,1,0.8,101,302
"54",160.92169087475,3.01029714791969e-05,1.7379958686922e-06,5.81072782726524,2.68791620695137e-05,1.55186914564253e-06,0.08,1,0.9,101,302
"55",178.736707978262,3.39990779269809e-05,1.96293767933415e-06,6.36245276615641,3.03450735922188e-05,1.75197364070465e-06,0.08,1,1,101,302
"56",0,0,0,0,0,0,0.1,1,0,101,301
"57",17.9190611292046,3.79014132989117e-05,2.18823911707939e-06,0.710619926181517,3.55415990661097e-05,2.05199517882482e-06,0.1,1,0.1,101,301
