"","Equil.pop","Equil.pop.sd","Equil.pop.se","Equil.harvest","Equil.harvest.sd","Equil.harvest.se","speed","harvest","thresh","steps.harv","steps.move","req","management"
"1",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0,NA,101,301,0,"Few Large MPAs"
"2",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.01,NA,101,301,0,"Few Large MPAs"
"3",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.02,NA,101,301,0,"Few Large MPAs"
"4",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.03,NA,101,301,0,"Few Large MPAs"
"5",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.04,NA,101,301,0,"Few Large MPAs"
"6",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.05,NA,101,301,0,"Few Large MPAs"
"7",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.06,NA,101,301,0,"Few Large MPAs"
"8",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.07,NA,101,301,0,"Few Large MPAs"
"9",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.08,NA,101,301,0,"Few Large MPAs"
"10",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.09,NA,101,301,0,"Few Large MPAs"
"11",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.1,NA,101,301,0,"Few Large MPAs"
"12",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.11,NA,101,301,0,"Few Large MPAs"
"13",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.12,NA,101,301,0,"Few Large MPAs"
"14",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.13,NA,101,301,0,"Few Large MPAs"
"15",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.14,NA,101,301,0,"Few Large MPAs"
"16",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.15,NA,101,301,0,"Few Large MPAs"
"17",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.16,NA,101,301,0,"Few Large MPAs"
"18",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.17,NA,101,301,0,"Few Large MPAs"
"19",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.18,NA,101,301,0,"Few Large MPAs"
"20",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.19,NA,101,301,0,"Few Large MPAs"
"21",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0.2,NA,101,301,0,"Few Large MPAs"
"22",2331.13327267964,0,0,0,0,0,0.02,0,NA,101,900,0,"Few Large MPAs"
"23",2184.57961522415,135.379422347048,7.81613459348043,3.96106764200477,3.41442868712402,0.197132132163983,0.02,0.01,NA,101,900,0,"Few Large MPAs"
"24",2038.79444789586,270.30511937287,15.6060733433261,6.93851028475658,5.84739281257732,0.3375993814399,0.02,0.02,NA,101,900,0,"Few Large MPAs"
"25",1894.88134468352,403.39703794094,23.2901388445499,8.94644767997363,7.35342033064161,0.42454992073604,0.02,0.03,NA,101,900,0,"Few Large MPAs"
"26",1754.63003076255,532.157437858438,30.7241239998831,10.029616741077,8.05873641935837,0.465271364104479,0.02,0.04,NA,101,900,0,"Few Large MPAs"
"27",1620.7111161876,652.031584174142,37.6450610643079,10.2886479458814,8.20662189174251,0.473809535833501,0.02,0.05,NA,101,900,0,"Few Large MPAs"
"28",1495.19808662362,754.532559232492,43.5629576185216,9.91201111491498,8.16107150143607,0.47117968282299,0.02,0.06,NA,101,900,0,"Few Large MPAs"
"29",1360.75818537055,817.693358266074,47.2095480509487,9.1802198388293,8.24727433622631,0.476156605810095,0.02,0.07,NA,101,900,0,"Few Large MPAs"
"30",1086.99086177725,812.354463669716,46.9013068277104,8.38471420768112,8.51562889809872,0.491650063663625,0.02,0.08,NA,101,900,0,"Few Large MPAs"
"31",655.084499277925,675.842960868813,39.0198115387523,7.5841615665525,8.71204325523499,0.502990051860158,0.02,0.09,NA,101,900,0,"Few Large MPAs"
