"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",2333.26623925742,0,0,0,NA
"2",1850.17341778104,0,0,0.01,NA
"3",1356.70304008184,0,0,0.02,NA
"4",852.465073463889,0,0,0.03,NA
"5",337.048548996507,0,0,0.04,NA
"6",7.25817894644128e-20,1.59836845931789e-19,0,0.05,NA
"7",2.40012898465022e-77,1.10968353069762e-76,0,0.06,NA
"8",9.05909771165532e-136,5.59721741538195e-135,0,0.07,NA
"9",3.59868936450859e-195,0,0,0.08,NA
"10",1.38587251504206e-255,0,0,0.09,NA
"11",4.75592136090726e-317,0,0,0.1,NA
"12",1.07953343616312e-320,0,0,0.11,NA
"13",1.07953343616312e-320,0,0,0.12,NA
"14",1.07953343616312e-320,0,0,0.13,NA
"15",1.07953343616312e-320,0,0,0.14,NA
"16",1.07953343616312e-320,0,0,0.15,NA
"17",4.07604157819028e-321,0,0,0.16,NA
"18",4.07604157819028e-321,0,0,0.17,NA
"19",4.07604157819028e-321,0,0,0.18,NA
"20",4.07604157819028e-321,0,0,0.19,NA
"21",4.07604157819028e-321,0,0,0.2,NA
"22",2331.13327267964,0,0.02,0,NA
"23",1853.16251837362,3.10189384369944,0.02,0.01,NA
"24",1364.91721832519,4.78986742838225,0.02,0.02,NA
"25",866.005639018481,4.73271938377252,0.02,0.03,NA
"26",356.013096645266,2.66020042213287,0.02,0.04,NA
"27",7.81973269776544e-18,1.58316685448183e-17,0.02,0.05,NA
"28",6.75543835657631e-75,3.06161065297608e-74,0.02,0.06,NA
"29",7.45487870008543e-133,4.55803013769267e-132,0.02,0.07,NA
"30",9.01120341571517e-192,0,0.02,0.08,NA
"31",1.09392084895848e-251,0,0.02,0.09,NA
"32",1.22514246392554e-312,0,0.02,0.1,NA
"33",1.13141032897645e-320,0,0.02,0.11,NA
"34",5.05429155695595e-321,0,0.02,0.12,NA
"35",4.77267413882644e-321,0,0.02,0.13,NA
"36",3.91299991506267e-321,0,0.02,0.14,NA
"37",3.89323728922902e-321,0,0.02,0.15,NA
"38",3.89323728922902e-321,0,0.02,0.16,NA
"39",3.89323728922902e-321,0,0.02,0.17,NA
"40",3.89323728922902e-321,0,0.02,0.18,NA
"41",3.89323728922902e-321,0,0.02,0.19,NA
"42",3.89323728922902e-321,0,0.02,0.2,NA
"43",2317.55155641256,0,0.04,0,NA
"44",1839.55667551926,0.971397981328713,0.04,0.01,NA
"45",1351.2798484331,1.44472527983597,0.04,0.02,NA
"46",852.329781253591,1.38168913236261,0.04,0.03,NA
"47",342.293713438453,0.746637484482191,0.04,0.04,NA
"48",5.62886131298715e-19,1.19656220710498e-18,0.04,0.05,NA
"49",5.15280930187703e-76,2.35453154109874e-75,0.04,0.06,NA
"50",5.71394884017953e-134,3.50021076786246e-133,0.04,0.07,NA
"51",6.89657607220419e-193,0,0.04,0.08,NA
"52",8.33741213780956e-253,0,0.04,0.09,NA
"53",9.28331482133817e-314,0,0.04,0.1,NA
"54",1.12943406639309e-320,0,0.04,0.11,NA
"55",5.05429155695595e-321,0,0.04,0.12,NA
"56",4.76279282590962e-321,0,0.04,0.13,NA
"57",3.93276254089632e-321,0,0.04,0.14,NA
"58",3.89323728922902e-321,0,0.04,0.15,NA
"59",3.89323728922902e-321,0,0.04,0.16,NA
"60",3.89323728922902e-321,0,0.04,0.17,NA
"61",3.89323728922902e-321,0,0.04,0.18,NA
"62",3.89323728922902e-321,0,0.04,0.19,NA
"63",3.89323728922902e-321,0,0.04,0.2,NA
"64",2291.73485282954,0,0.06,0,NA
"65",1813.42577299016,0.512139940200225,0.06,0.01,NA
