"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",2333.26623925742,0,0,0,NA
"2",2015.75876573562,0,0,0.01,NA
"3",1693.71954952583,0,0,0.02,NA
"4",1367.0338448794,0,0,0.03,NA
"5",1035.58267771274,0,0,0.04,NA
"6",699.242640716818,0,0,0.05,NA
"7",357.88567614502,0,0,0.06,NA
"8",11.895414349475,0.108883360672962,0,0.07,NA
"9",6.40528835560325e-36,1.97061526120485e-35,0,0.08,NA
"10",6.01401936752279e-74,2.71624311138735e-73,0,0.09,NA
"11",2.1754484851524e-112,1.22004215897004e-111,0,0.1,NA
"12",2.95994541912725e-151,1.9325314816211e-150,0,0.11,NA
"13",1.47881451638931e-190,0,0,0.12,NA
"14",2.64748429393575e-230,0,0,0.13,NA
"15",1.65660168096101e-270,0,0,0.14,NA
"16",3.53160483778657e-311,0,0,0.15,NA
"17",1.82557256138341e-320,0,0,0.16,NA
"18",1.08447409262154e-320,0,0,0.17,NA
"19",1.08447409262154e-320,0,0,0.18,NA
"20",1.08447409262154e-320,0,0,0.19,NA
"21",1.08447409262154e-320,0,0,0.2,NA
"22",2331.13327267964,0,0.02,0,NA
"23",2013.67283637548,0,0.02,0.01,NA
"24",1691.68322875081,0,0.02,0.02,NA
"25",1365.04983332906,0,0.02,0.03,NA
"26",1033.65381271937,0,0.02,0.04,NA
"27",697.371904221465,0,0.02,0.05,NA
"28",356.076203147239,0,0.02,0.06,NA
"29",10.3900641189274,0.139411887305402,0.02,0.07,NA
"30",4.61658751499363e-36,1.42433712094986e-35,0.02,0.08,NA
"31",4.34591822695233e-74,1.96542391146975e-73,0.02,0.09,NA
"32",1.57338854044095e-112,8.83145745050929e-112,0.02,0.1,NA
"33",2.14168060387639e-151,1.39917118599845e-150,0.02,0.11,NA
"34",1.07027296053653e-190,0,0.02,0.12,NA
"35",1.91640496829947e-230,0,0.02,0.13,NA
"36",1.19928963423347e-270,0,0.02,0.14,NA
"37",2.55691977017929e-311,0,0.02,0.15,NA
"38",1.82557256138341e-320,0,0.02,0.16,NA
"39",1.08447409262154e-320,0,0.02,0.17,NA
"40",1.08447409262154e-320,0,0.02,0.18,NA
"41",1.08447409262154e-320,0,0.02,0.19,NA
"42",1.08447409262154e-320,0,0.02,0.2,NA
"43",2317.55155641256,0,0.04,0,NA
"44",2000.0521969087,0,0.04,0.01,NA
"45",1678.0254333488,0,0.04,0.02,NA
"46",1351.35678296726,0,0.04,0.03,NA
"47",1019.92755085026,0,0.04,0.04,NA
"48",683.614626164595,0,0.04,0.05,NA
"49",342.290266152805,0,0.04,0.06,NA
"50",2.19497343963797,0.248925310026696,0.04,0.07,NA
"51",3.45282566795838e-37,1.08884402815098e-36,0.04,0.08,NA
"52",3.31611724295186e-75,1.51522444290627e-74,0.04,0.09,NA
"53",1.20855649825736e-113,6.82930845070505e-113,0.04,0.1,NA
"54",1.65053269385252e-152,1.08366282651199e-151,0.04,0.11,NA
"55",8.26468186268767e-192,0,0.04,0.12,NA
"56",1.48181255339228e-231,0,0.04,0.13,NA
"57",9.2819699552545e-272,0,0.04,0.14,NA
"58",1.98034407938344e-312,0,0.04,0.15,NA
"59",1.82557256138341e-320,0,0.04,0.16,NA
"60",1.08447409262154e-320,0,0.04,0.17,NA
"61",1.08447409262154e-320,0,0.04,0.18,NA
"62",1.08447409262154e-320,0,0.04,0.19,NA
"63",1.08447409262154e-320,0,0.04,0.2,NA
"64",2291.73485282954,0,0.06,0,NA
"65",1974.0212298866,0,0.06,0.01,NA
"66",1651.77750492176,0,0.06,0.02,NA
"67",1324.8891632404,0,0.06,0.03,NA
"68",993.237478681633,0,0.06,0.04,NA
"69",656.699309981117,0,0.06,0.05,NA
"70",315.146884914572,0,0.06,0.06,NA
"71",0.0170215244349343,0.00927456305963436,0.06,0.07,NA
"72",2.03995035200506e-39,6.70011439490784e-39,0.06,0.08,NA
"73",2.03180851566957e-77,9.46947188178032e-77,0.06,0.09,NA
"74",7.49830096844356e-116,4.29269970443913e-115,0.06,0.1,NA
"75",1.03056542264427e-154,6.83203281207692e-154,0.06,0.11,NA
"76",5.18014568244926e-194,0,0.06,0.12,NA
"77",9.3115796973849e-234,0,0.06,0.13,NA
"78",5.8434381820864e-274,0,0.06,0.14,NA
"79",1.24844501862506e-314,0,0.06,0.15,NA
"80",1.82557256138341e-320,0,0.06,0.16,NA
"81",1.08447409262154e-320,0,0.06,0.17,NA
"82",1.08447409262154e-320,0,0.06,0.18,NA
"83",1.08447409262154e-320,0,0.06,0.19,NA
"84",1.08447409262154e-320,0,0.06,0.2,NA
"85",2253.88421573119,0,0.08,0,NA
"86",1935.78296319708,0,0.08,0.01,NA
"87",1613.14447439079,0,0.08,0.02,NA
"88",1285.85403738314,0,0.08,0.03,NA
"89",953.792721357628,0,0.08,0.04,NA
"90",616.83717261423,0,0.08,0.05,NA
"91",274.859398332222,0,0.08,0.06,NA
"92",6.13250034118308e-06,6.92817908126175e-06,0.08,0.07,NA
"93",1.00983534405395e-42,3.5039524951382e-42,0.08,0.08,NA
"94",1.05452921981865e-80,5.05440427983225e-80,0.08,0.09,NA
"95",3.95936886817587e-119,2.3095782107201e-118,0.08,0.1,NA
"96",5.49054480693965e-158,3.69136368193609e-157,0.08,0.11,NA
"97",2.77493262333966e-197,0,0.08,0.12,NA
"98",5.00648884897193e-237,0,0.08,0.13,NA
"99",3.15014288962406e-277,0,0.08,0.14,NA
"100",6.7537637435513e-318,0,0.08,0.15,NA
"101",1.08447409262154e-320,0,0.08,0.16,NA
"102",1.08447409262154e-320,0,0.08,0.17,NA
"103",1.08447409262154e-320,0,0.08,0.18,NA
"104",1.08447409262154e-320,0,0.08,0.19,NA
"105",1.08447409262154e-320,0,0.08,0.2,NA
"106",2204.17655288728,0,0.1,0,NA
"107",1885.51582785623,0,0.1,0.01,NA
"108",1562.30631026324,0,0.1,0.02,NA
"109",1234.43292529084,0,0.1,0.03,NA
"110",901.776363650676,0,0.1,0.04,NA
"111",564.212876728839,0,0.1,0.05,NA
"112",221.614059432082,0,0.1,0.06,NA
"113",1.9679330109838e-10,3.33918565086173e-10,0.1,0.07,NA
"114",4.45444658432227e-47,1.64825628257416e-46,0.1,0.08,NA
"115",4.90305523380064e-85,2.43308382251385e-84,0.1,0.09,NA
"116",1.87914897322494e-123,1.12243413100075e-122,0.1,0.1,NA
"117",2.63456088324895e-162,1.80577774450574e-161,0.1,0.11,NA
"118",1.34060724166531e-201,0,0.1,0.12,NA
"119",2.42995154135477e-241,0,0.1,0.13,NA
"120",1.53410981045148e-281,0,0.1,0.14,NA
"121",1.1007782589343e-320,0,0.1,0.15,NA
"122",1.08447409262154e-320,0,0.1,0.16,NA
"123",1.08447409262154e-320,0,0.1,0.17,NA
"124",1.08447409262154e-320,0,0.1,0.18,NA
"125",1.08447409262154e-320,0,0.1,0.19,NA
"126",1.08447409262154e-320,0,0.1,0.2,NA
"127",2142.76587702249,0,0.12,0,NA
"128",1823.37492934075,0,0.12,0.01,NA
"129",1499.41921095078,0,0.12,0.02,NA
"130",1170.78311749277,0,0.12,0.03,NA
"131",837.346786291277,0,0.12,0.04,NA
"132",498.985890133521,0,0.12,0.05,NA
"133",155.571418653151,6.09121492577033e-12,0.12,0.06,NA
"134",6.48368722401287e-16,1.43800724840341e-15,0.12,0.07,NA
"135",1.86377489784709e-52,7.39307587816862e-52,0.12,0.08,NA
"136",2.16420660803969e-90,1.11762033909474e-89,0.12,0.09,NA
"137",8.4833259113673e-129,5.21019446869794e-128,0.12,0.1,NA
"138",1.20419666056373e-167,0,0.12,0.11,NA
"139",6.175905999719e-207,0,0.12,0.12,NA
"140",1.12551191325588e-246,0,0.12,0.13,NA
"141",7.13396452675759e-287,0,0.12,0.14,NA
"142",4.69362363549184e-321,0,0.12,0.15,NA
"143",4.69362363549184e-321,0,0.12,0.16,NA
"144",4.69362363549184e-321,0,0.12,0.17,NA
"145",4.69362363549184e-321,0,0.12,0.18,NA
"146",4.69362363549184e-321,0,0.12,0.19,NA
"147",4.69362363549184e-321,0,0.12,0.2,NA
"148",2069.78442368789,0,0.14,0,NA
"149",1749.49318154077,0,0.14,0.01,NA
"150",1424.61675523157,0,0.14,0.02,NA
"151",1095.03884256878,0,0.14,0.03,NA
"152",760.638850802479,0,0.14,0.04,NA
"153",421.29168851542,0,0.14,0.05,NA
"154",76.8675542189792,1.0921108266366e-05,0.14,0.06,NA
"155",2.29501630083252e-22,6.21924244020455e-22,0.14,0.07,NA
"156",7.8752211282677e-59,3.35592470755105e-58,0.14,0.08,NA
"157",9.62600959786632e-97,5.19199385579919e-96,0.14,0.09,NA
"158",3.86205153302108e-135,2.4469678986878e-134,0.14,0.1,NA
"159",5.55544157665149e-174,0,0.14,0.11,NA
"160",2.87377918433301e-213,0,0.14,0.12,NA
"161",5.26883125518552e-253,0,0.14,0.13,NA
"162",3.35447893837934e-293,0,0.14,0.14,NA
"163",4.69362363549184e-321,0,0.14,0.15,NA
