"","Equil.pop","Equil.pop.sd","Equil.pop.se","Equil.harvest","Equil.harvest.sd","Equil.harvest.se","speed","harvest","thresh","steps.harv","steps.move","req"
"233",0.00180607864751143,0.00239193015003633,0.000138098151600626,1.77264924658035e-05,2.94518121270972e-05,1.70040116597019e-06,0.38,0.04,NA,101,900,0
"234",2.59116815521043e-05,4.33943115996203e-05,2.50537174833393e-06,3.1773549308719e-07,6.48203127380107e-07,3.74240250082462e-08,0.38,0.05,NA,101,900,0
"235",3.57877472478013e-07,7.063998706539e-07,4.07840155477546e-08,5.25949405833856e-09,1.24378808664076e-08,7.18101386636895e-10,0.38,0.06,NA,101,900,0
"236",4.76559549110682e-09,1.06746799216315e-08,6.16302932626703e-10,8.15547873833203e-11,2.16250664965543e-10,1.24852379630292e-11,0.38,0.07,NA,101,900,0
"237",6.11235185318879e-11,1.51802258058611e-10,8.7643074553732e-12,1.19243727954385e-12,3.47074603373867e-12,2.00383615686785e-13,0.38,0.08,NA,101,900,0
"238",7.54147656604238e-13,2.0443976322913e-12,1.18033352333402e-13,1.64995018598795e-14,5.19464621868642e-14,2.99913039270348e-15,0.38,0.09,NA,101,900,0
"239",8.93943817800862e-15,2.61553371927294e-14,1.51007909689677e-15,2.16497352948962e-16,7.29378495694965e-16,4.21106870830612e-17,0.38,0.1,NA,101,900,0
"240",1.01678182955834e-16,3.18345995457623e-16,1.83797146172898e-17,2.69695116251215e-18,9.64271849142065e-18,5.56722611674149e-19,0.38,0.11,NA,101,900,0
"241",120.606925779174,8.27502181199566,0.477758607070572,0,0,0,0.4,0,NA,101,700,0
"242",47.8165571479542,22.3248823062483,1.28892768091392,0.116237755009768,0.0958797078881316,0.00553561751590355,0.4,0.01,NA,101,500,0
"243",11.706723773439,10.5300212921778,0.607951062761136,0.0570909927222348,0.0696042739403285,0.00401860462961971,0.4,0.02,NA,101,500,0
"244",2.73191083475646,3.56501696265164,0.205826350305251,0.0200177149277158,0.0328882667323767,0.00189880496511179,0.4,0.03,NA,101,500,0
"245",0.634826638544406,1.04713304373587,0.0604562544678254,0.006206540517838,0.0125162013846908,0.00072262322386828,0.4,0.04,NA,101,500,0
"246",0.146862398680006,0.285866129578769,0.0165044886864499,0.00179482122384417,0.004201491030278,0.00024257319773288,0.4,0.05,NA,101,500,0
"247",0.0337261579049067,0.0745694369641984,0.00430526845045988,0.000494308528463211,0.00129909678317865,7.50033877471569e-05,0.4,0.06,NA,101,500,0
"248",0.00767585010525285,0.0188293063254987,0.00108711050756806,0.000131095141845105,0.000378572234566921,2.1856878153493e-05,0.4,0.07,NA,101,500,0
"249",0.00172972296566931,0.00463357348514622,0.000267519489895908,3.37020601587425e-05,0.000105358596566666,6.08288140892058e-06,0.4,0.08,NA,101,500,0
"250",0.000385660954697317,0.00111540460653695,6.43979149839459e-05,8.43361250792227e-06,2.82319536491816e-05,1.6299726039104e-06,0.4,0.09,NA,101,500,0
"251",8.50240063601012e-05,0.000263220128820438,1.51970212230608e-05,2.05983575265076e-06,7.32235085518582e-06,4.22756123734242e-07,0.4,0.1,NA,101,500,0
"252",1.85238470440377e-05,6.09705319669343e-05,3.52013530437442e-06,4.91918959043413e-07,1.84475362704375e-06,1.06506900316225e-07,0.4,0.11,NA,101,500,0
"253",7.44436619217965,2.67680255694612,0.154545267682032,0,0,0,0.42,0,NA,101,900,0
"254",0.158849158699564,0.136740372652354,0.00789470909599265,0.000384857421021002,0.000454573452344291,2.62448105077434e-05,0.42,0.01,NA,101,900,0
"255",0.00262148614327281,0.00337238226393197,0.000194704580789144,1.27297278530859e-05,2.06805680608677e-05,1.19399315369364e-06,0.42,0.02,NA,101,900,0
"256",4.06411449645237e-05,6.64200712006255e-05,3.83476459872753e-06,2.96405664032542e-07,5.93607395646184e-07,3.42719389669277e-08,0.42,0.03,NA,101,900,0
"257",6.06989230572299e-07,1.17161007788411e-06,6.76429393851668e-08,5.90666636165617e-09,1.37457512375456e-08,7.93611317721058e-10,0.42,0.04,NA,101,900,0
"258",8.75221275197731e-09,1.9188119226568e-08,1.10782658007017e-09,1.06478634041804e-10,2.78287520123096e-10,1.60669374655183e-11,0.42,0.05,NA,101,900,0
"259",1.21732263820425e-10,2.96013430397751e-10,1.70903433723886e-11,1.77655705206798e-12,5.1026971344396e-12,2.94604356416184e-13,0.42,0.06,NA,101,900,0
"260",1.63127414905834e-12,4.33037313907559e-12,2.50014209753682e-13,2.77503442419957e-14,8.62964616369938e-14,4.98232853562306e-15,0.42,0.07,NA,101,900,0
"261",2.10358632265024e-14,6.02721357494495e-14,3.47981337995783e-15,4.08401608091652e-16,1.36011351267379e-15,7.85261902670661e-17,0.42,0.08,NA,101,900,0
"262",2.60731483124103e-16,7.99453713061809e-16,4.61564816440881e-17,5.68380589227423e-18,2.01033511725178e-17,1.16066752110667e-18,0.42,0.09,NA,101,900,0
"263",3.10255930135878e-18,1.0112400191404e-17,5.83839697266033e-19,7.49657185492927e-20,2.79751976849895e-19,1.61514879140617e-20,0.42,0.1,NA,101,900,0
"264",3.54026811685854e-20,1.21997425482586e-19,7.04352464428126e-21,9.38179364692785e-22,3.67417026183414e-21,2.12128318971846e-22,0.42,0.11,NA,101,900,0
"265",0.141554572819123,0.123724535917647,0.00714323941174153,0,0,0,0.44,0,NA,101,900,0
"266",0.00242042055629994,0.00312610308779835,0.00018048564592549,5.81501290200174e-06,9.48811853116633e-06,5.47796778807196e-07,0.44,0.01,NA,101,900,0
"267",3.89794525322428e-05,6.36489858437551e-05,3.67477591105387e-06,1.8749620570149e-07,3.75849287458528e-07,2.1699668728891e-08,0.44,0.02,NA,101,900,0
"268",6.0522612850876e-07,1.16414044329649e-06,6.72116798311757e-08,4.37069191636272e-09,1.01603673982949e-08,5.86609085247106e-10,0.44,0.03,NA,101,900,0
"269",9.07814427893027e-09,1.97999061595215e-08,1.14314811511291e-09,8.74624697061727e-11,2.28034573702715e-10,1.31655822511804e-11,0.44,0.04,NA,101,900,0
"270",1.31435743153531e-10,3.17564708326036e-10,1.83346069837162e-11,1.58319564168e-12,4.53186301701152e-12,2.61647233280211e-13,0.44,0.05,NA,101,900,0
"271",1.83470401125964e-12,4.83447778514855e-12,2.79118705064678e-13,2.65135619067766e-14,8.21083470079e-14,4.74052762477263e-15,0.44,0.06,NA,101,900,0
