"","Equil.pop","Equil.sd","speed","harvest","thresh"
"41",1.96369480824707e-219,0,0.02,0.19,NA
"42",3.38776874222343e-246,0,0.02,0.2,NA
"43",2317.55155641256,0,0.04,0,NA
"44",2104.22318231157,0.519546980709323,0.04,0.01,NA
"45",1888.86972001998,0.941235869282398,0.04,0.02,NA
"46",1671.45761284178,1.26049173362246,0.04,0.03,NA
"47",1451.95251161049,1.47269504248354,0.04,0.04,NA
"48",1230.31925090715,1.57319363570941,0.04,0.05,NA
"49",1006.52182445441,1.55731517512275,0.04,0.06,NA
"50",780.523359656324,1.42037992548805,0.04,0.07,NA
"51",552.286091251584,1.1577136939184,0.04,0.08,NA
"52",321.771334044894,0.764660736756699,0.04,0.09,NA
"53",88.9394551560601,0.236596425965335,0.04,0.1,NA
"54",1.22955562444664e-13,2.30155322752913e-13,0.04,0.11,NA
"55",1.04152100644119e-38,3.42285245115454e-38,0.04,0.12,NA
"56",4.21014594707902e-64,1.79367146074566e-63,0.04,0.13,NA
"57",1.0706371749528e-89,5.4122109679674e-89,0.04,0.14,NA
"58",1.75167625260984e-115,1.00645506657801e-114,0.04,0.15,NA
"59",1.84563200021434e-141,1.17494347648559e-140,0.04,0.16,NA
"60",1.24738170760255e-167,0,0.04,0.17,NA
"61",5.37745117367329e-194,0,0.04,0.18,NA
"62",1.46932149215272e-220,0,0.04,0.19,NA
"63",2.5274643134059e-247,0,0.04,0.2,NA
"64",2291.73485282954,0,0.06,0,NA
"65",2078.26278446359,0.374013339538202,0.06,0.01,NA
"66",1862.76333447708,0.676269111284031,0.06,0.02,NA
"67",1645.20288671561,0.903641718987136,0.06,0.03,NA
"68",1425.54703324568,1.05291365108191,0.06,0.04,NA
"69",1203.76055099239,1.12078393576328,0.06,0.05,NA
"70",979.807377444717,1.10387981405166,0.06,0.06,NA
"71",753.65058530218,0.998771109429874,0.06,0.07,NA
"72",525.252355928313,0.801986116834003,0.06,0.08,NA
"73",294.573951488594,0.510027184713673,0.06,0.09,NA
"74",61.5757926892546,0.119383637362221,0.06,0.1,NA
"75",6.50129727408105e-16,1.35565146707039e-15,0.06,0.11,NA
"76",6.0824453695378e-41,2.07566845281173e-40,0.06,0.12,NA
"77",2.51597463946753e-66,1.09654388100885e-65,0.06,0.13,NA
"78",6.45338395332377e-92,3.31560696773132e-91,0.06,0.14,NA
"79",1.05925798049774e-117,6.16300157246171e-117,0.06,0.15,NA
"80",1.11665568697409e-143,7.18149621459376e-143,0.06,0.16,NA
"81",7.53847996144671e-170,0,0.06,0.17,NA
"82",3.24244405196818e-196,0,0.06,0.18,NA
"83",8.8316130892091e-223,0,0.06,0.19,NA
"84",1.51326580679673e-249,0,0.06,0.2,NA
"85",2253.88421573119,0,0.08,0,NA
"86",2040.5912978088,0.298950476371188,0.08,0.01,NA
"87",1825.27470626807,0.539008394133687,0.08,0.02,NA
"88",1607.90088475093,0.717820084232735,0.08,0.03,NA
"89",1388.43548276343,0.832956188261327,0.08,0.04,NA
"90",1166.84333157457,0.881909299000898,0.08,0.05,NA
"91",943.088419236645,0.862091511145837,0.08,0.06,NA
"92",717.133864690514,0.770831876748349,0.08,0.07,NA
"93",488.941890917282,0.60537375947828,0.08,0.08,NA
"94",258.473797096425,0.362872081325411,0.08,0.09,NA
"95",25.7835057128186,0.0584498320515096,0.08,0.1,NA
"96",7.75772551990208e-19,1.80931923371219e-18,0.08,0.11,NA
"97",8.84061340339927e-44,3.1533927134528e-43,0.08,0.12,NA
"98",4.14335729502581e-69,1.85573592492213e-68,0.08,0.13,NA
