"","Equil.pop","Equil.pop.sd","Equil.pop.se","Equil.harvest","Equil.harvest.sd","Equil.harvest.se","speed","harvest","thresh","steps.harv","steps.move","req"
"1",2333.26622022985,6.00669142661636e-05,3.46796491209597e-06,0,0,0,0,0,NA,101,301,0
"2",2015.78184833265,0.0671210677936042,0.00387523665589325,7.67528052598011,0.000267112015807844,1.54217194230442e-05,0,0.01,NA,101,301,0
"3",1693.77636186922,0.149557163692212,0.00863468687169357,12.9366105640754,0.00118543135195773,6.84409110158619e-05,0,0.02,NA,117,301,0
"4",1367.12603784163,0.213995418644472,0.0123550312559733,15.7095192870463,0.00253364445268942,0.000146280030679104,0,0.03,NA,144,301,0
"5",1035.7482389707,0.324015630238869,0.0187070511340057,15.9170106945321,0.00509336078343065,0.000294065321939357,0,0.04,NA,182,301,0
"6",699.615818593417,0.56164745176971,0.0324267307468909,13.4805612556885,0.0109887994121681,0.000634438629868606,0,0.05,NA,244,301,0
"7",359.272104804597,1.23359476262959,0.0712216268275109,8.33312034439053,0.0288382710325995,0.00166497835436347,0,0.06,NA,375,301,0
"8",41.7856715552309,3.40014986790911,0.19630774415224,1.13500125350051,0.0924414744587592,0.00533711101630505,0,0.07,NA,750,301,0
"9",1.53544497108122,1.30389993547799,0.075280697874455,0.0481412689314826,0.0408831518289412,0.00236038987137595,0,0.08,NA,389,301,0
"10",0.377661094655144,0.563963526722384,0.0325604493966299,0.0134670055955976,0.0201106144509224,0.00116108686668088,0,0.09,NA,251,301,0
"11",0.160334359516757,0.315878397504268,0.0182372477830277,0.00642314375862738,0.0126544729549297,0.000730606336698152,0,0.1,NA,188,301,0
"12",0.0875666930177506,0.206501109264588,0.0119223471021866,0.00390214330586877,0.00920213891273485,0.00053128573783878,0,0.11,NA,151,301,0
"13",0.0532119079932869,0.143379221289226,0.00827800320075335,0.00261618059508655,0.00704931108425824,0.000406992165209791,0,0.12,NA,127,301,0
"14",0.0347311704950592,0.104068809577643,0.0060084155223896,0.00187112567375116,0.00560667436802123,0.000323701495563564,0,0.13,NA,110,301,0
"15",0.0178097502380774,0.058299959101957,0.00336594970812591,0.0010453110751324,0.00342181628040963,0.000197558655061194,0,0.14,NA,101,301,0
"16",0.0049828098186588,0.0175974784730591,0.00101599089334793,0.000317032254845219,0.0011196436151213,6.46426542586727e-05,0,0.15,NA,101,301,0
"17",0.00138055028627789,0.00521134771678373,0.000300877300712583,9.480894139147e-05,0.000357888043205926,2.0662675808469e-05,0,0.16,NA,101,301,0
"18",0.000378438553577469,0.00151595546461966,8.75237295577648e-05,2.79461789555419e-05,0.000111947274910652,6.46327893047099e-06,0,0.17,NA,101,301,0
"19",0.00010255382180012,0.000433456307396678,2.50256115757413e-05,8.11646074546851e-06,3.43052174343619e-05,1.98061265203375e-06,0,0.18,NA,101,301,0
"20",2.74535395758892e-05,0.000121860997656495,7.03564798006938e-06,2.32179090345896e-06,1.0305984635523e-05,5.95016300358337e-07,0,0.19,NA,101,301,0
"21",7.25490031633524e-06,3.36888085577541e-05,1.94502426894971e-06,6.53924534368075e-07,3.03655977560863e-06,1.75315860385803e-07,0,0.2,NA,101,301,0
"22",2331.16473460762,0.0992852588401846,0.00573223709179423,0,0,0,0.02,0,NA,101,311,0
"23",2013.71468504039,0.121636108542062,0.0070226640009938,7.66900714600675,0.000484132815403408,2.79514211296689e-05,0.02,0.01,NA,101,315,0
"24",1691.7453757781,0.163506779515589,0.00944006831676542,12.9238271667782,0.00129620399449993,7.48363725149205e-05,0.02,0.02,NA,117,318,0
"25",1365.14539539371,0.221650700637528,0.0127970091679146,15.6901223192864,0.00262470944619791,0.000151537670530692,0.02,0.03,NA,144,320,0
"26",1033.82276027994,0.330296475024276,0.019069675876765,15.8908782493256,0.00519297388199066,0.0002998164868662,0.02,0.04,NA,182,322,0
