"h 0","h 0.01","h 0.02","h 0.03","h 0.04","h 0.05","h 0.06","h 0.07","h 0.08","h 0.09","h 0.1","h 0.11","h 0.12","h 0.13","h 0.14","h 0.15","h 0.16","h 0.17","h 0.18","h 0.19","h 0.2","h 0.21","h 0.22","h 0.23","h 0.24","h 0.25","h 0.26","h 0.27","h 0.28","h 0.29","h 0.3","h 0.31","h 0.32","h 0.33","h 0.34","h 0.35","h 0.36","h 0.37","h 0.38","h 0.39","h 0.4","h 0.41","h 0.42","h 0.43","h 0.44","h 0.45","h 0.46","h 0.47","h 0.48","h 0.49","h 0.5","h 0.51","h 0.52","h 0.53","h 0.54","h 0.55","h 0.56","h 0.57","h 0.58","h 0.59","h 0.6","h 0.61","h 0.62","h 0.63","h 0.64","h 0.65","h 0.66","h 0.67","h 0.68","h 0.69","h 0.7","h 0.71","h 0.72","h 0.73","h 0.74","h 0.75","h 0.76","h 0.77","h 0.78","h 0.79","h 0.8","h 0.81","h 0.82","h 0.83","h 0.84","h 0.85","h 0.86","h 0.87","h 0.88","h 0.89","h 0.9","h 0.91","h 0.92","h 0.93","h 0.94","h 0.95","h 0.96","h 0.97","h 0.98","h 0.99","h 1"
"c 0.1",56.6479,56.5394,56.4286,56.3157,56.2004,56.0828,55.9627,55.8401,55.7149,55.587,55.4563,55.3227,55.1862,55.0466,54.904,54.7579,54.6085,54.4555,54.2989,54.1385,53.9742,53.8058,53.6332,53.4563,53.2748,53.0886,52.8974,52.7012,52.4997,52.2927,52.0799,51.8611,51.636,51.4043,51.1659,50.9203,50.6672,50.4063,50.1372,49.8597,49.5731,49.2771,48.9711,48.6547,48.3273,47.9884,47.6374,47.2737,46.8962,46.5045,46.0975,45.6745,45.2346,44.7764,44.299,43.8011,43.2813,42.7384,42.1703,41.5755,40.9523,40.2981,39.6107,38.8878,38.126,37.3226,36.4735,35.5753,34.6229,33.6118,32.5361,31.3893,30.164,28.8518,27.4431,25.9265,24.2895,22.5165,20.5899,18.4881,16.1864,13.6535,10.853,7.7385,4.2509,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.11",56.3295,56.2207,56.1098,55.9966,55.8811,55.7632,55.6429,55.5201,55.3946,55.2664,55.1355,55.0016,54.8648,54.7251,54.582,54.4357,54.286,54.1327,53.9758,53.8151,53.6504,53.4818,53.3088,53.1316,52.9497,52.7631,52.5716,52.375,52.1733,51.9658,51.7526,51.5334,51.3078,51.0758,50.8369,50.5908,50.3373,50.0759,49.8063,49.5284,49.2412,48.9447,48.6382,48.3212,47.9933,47.6538,47.3024,46.9379,46.5598,46.1674,45.7597,45.336,44.8954,44.4365,43.9583,43.4596,42.939,42.3953,41.8264,41.2307,40.6066,39.9514,39.263,38.5391,37.7762,36.9717,36.1215,35.2221,34.2684,33.2561,32.179,31.0308,29.8041,28.4904,27.0801,25.5622,23.9231,22.1488,20.2198,18.1165,15.8127,13.2776,10.4746,7.3577,3.8673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.12",55.9815,55.8725,55.7613,55.6479,55.5321,55.414,55.2934,55.1703,55.0446,54.9161,54.7849,54.6508,54.5136,54.3736,54.2303,54.0836,53.9335,53.7799,53.6227,53.4617,53.2967,53.1276,52.9544,52.7767,52.5945,52.4075,52.2156,52.0186,51.8165,51.6086,51.3949,51.1753,50.9493,50.7168,50.4774,50.2308,49.9768,49.7149,49.4448,49.1663,48.8787,48.5815,48.2745,47.9569,47.6284,47.2883,46.9362,46.571,46.1922,45.7991,45.3907,44.9663,44.5249,44.0652,43.5862,43.0867,42.5654,42.0206,41.4507,40.8541,40.229,39.5727,38.8832,38.1582,37.3942,36.5885,35.737,34.8363,33.8816,32.8676,31.7891,30.6394,29.4111,28.0958,26.6837,25.1641,23.5236,21.7468,19.8164,17.7109,15.4043,12.8673,10.0622,6.9425,3.4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.13",55.6042,55.4949,55.3835,55.2698,55.1538,55.0354,54.9145,54.7911,54.665,54.5363,54.4047,54.2703,54.133,53.9925,53.8488,53.7019,53.5515,53.3975,53.2399,53.0785,52.9132,52.7437,52.5701,52.392,52.2094,52.022,51.8297,51.6323,51.4297,51.2213,51.0072,50.7871,50.5606,50.3276,50.0877,49.8406,49.586,49.3236,49.0531,48.7739,48.4856,48.1879,47.8802,47.562,47.2328,46.892,46.5392,46.1733,45.7938,45.3999,44.9908,44.5655,44.1234,43.6628,43.1829,42.6824,42.1603,41.6145,41.0436,40.4461,39.8197,39.1624,38.472,37.7455,36.9802,36.1733,35.3205,34.4184,33.4623,32.4467,31.3667,30.2154,28.9854,27.6683,26.2548,24.7329,23.0904,21.3115,19.3789,17.2711,14.9626,12.423,9.6155,6.4927,2.9948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.14",55.1978,55.0883,54.9765,54.8625,54.7462,54.6275,54.5064,54.3826,54.2563,54.1272,53.9953,53.8606,53.723,53.5821,53.4381,53.2907,53.14,52.9856,52.8277,52.6659,52.5001,52.3303,52.1562,51.9777,51.7947,51.6068,51.4141,51.2163,51.0131,50.8043,50.5897,50.369,50.142,49.9085,49.668,49.4204,49.1653,48.9022,48.6312,48.3513,48.0624,47.764,47.4557,47.1368,46.8069,46.4656,46.1118,45.7452,45.3649,44.9702,44.5602,44.1343,43.691,43.2296,42.7487,42.2473,41.7241,41.1773,40.6053,40.0068,39.3792,38.7206,38.0291,37.3013,36.535,35.7264,34.8725,33.9686,33.011,31.9942,30.9121,29.7591,28.5273,27.2088,25.793,24.2695,22.6248,20.8438,18.9088,16.7986,14.4876,11.9457,9.135,6.0093,2.5065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.15",54.7626,54.6528,54.5408,54.4265,54.3098,54.1908,54.0693,53.9453,53.8186,53.6892,53.5569,53.422,53.2838,53.1426,52.9982,52.8505,52.6993,52.5446,52.3862,52.224,52.0578,51.8876,51.7131,51.5341,51.3506,51.1623,50.9692,50.7708,50.5671,50.3578,50.1426,49.9214,49.6939,49.4598,49.2187,48.9705,48.7148,48.4513,48.1794,47.8989,47.6093,47.3103,47.0012,46.6816,46.3509,46.0088,45.6543,45.2869,44.9057,44.5102,44.0993,43.6725,43.2283,42.7658,42.284,41.7817,41.2573,40.7093,40.1362,39.5365,38.9077,38.2479,37.5551,36.826,36.0583,35.2482,34.3928,33.4874,32.5281,31.5096,30.4262,29.2714,28.0377,26.7168,25.2989,23.7733,22.1264,20.343,18.4061,16.2933,13.9796,11.4347,8.6212,5.4927,1.9829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.16",54.2989,54.1888,54.0764,53.9618,53.8449,53.7255,53.6037,53.4793,53.3522,53.2224,53.09,52.9545,52.816,52.6744,52.5296,52.3815,52.2299,52.0747,51.9159,51.7533,51.5866,51.4159,51.2409,51.0615,50.8775,50.6887,50.4951,50.2962,50.0919,49.8821,49.6664,49.4446,49.2165,48.9818,48.7401,48.4913,48.2349,47.9708,47.6982,47.417,47.1267,46.8269,46.5171,46.1967,45.8653,45.5224,45.167,44.7987,44.4167,44.0202,43.6086,43.1806,42.7354,42.272,41.7891,41.2857,40.7602,40.211,39.6367,39.0358,38.4057,37.7449,37.0504,36.3198,35.5507,34.7391,33.8821,32.9754,32.0141,30.9939,29.9086,28.7518,27.5162,26.1932,24.7736,23.2453,21.5961,19.8107,17.8708,15.7553,13.4392,10.8917,8.0752,4.9432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.17",53.807,53.6966,53.5839,53.4689,53.3516,53.2319,53.1097,52.9849,52.8575,52.7275,52.5945,52.4586,52.3197,52.1777,52.0325,51.8839,51.7319,51.5763,51.4171,51.2539,51.0869,50.9157,50.7402,50.5603,50.3757,50.1866,49.9923,49.7928,49.588,49.3776,49.1613,48.9389,48.7102,48.4748,48.2325,47.983,47.7261,47.4612,47.1879,46.906,46.6149,46.3143,46.0037,45.6825,45.3505,45.0066,44.6503,44.2811,43.8981,43.5007,43.0881,42.6591,42.2129,41.7483,41.2643,40.7599,40.2331,39.6828,39.1075,38.505,37.8736,37.2114,36.5154,35.7837,35.0127,34.1998,33.3409,32.4324,31.4694,30.4473,29.3601,28.2014,26.9637,25.6385,24.2167,22.6865,21.0348,19.2469,17.3043,15.186,12.8674,10.3167,7.4969,4.3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.18",53.2873,53.1765,53.0635,52.9481,52.8305,52.7104,52.5878,52.4627,52.3348,52.2044,52.0711,51.9348,51.7954,51.653,51.5073,51.3583,51.2059,51.0498,50.89,50.7264,50.5589,50.3872,50.2112,50.0307,49.8456,49.6559,49.4611,49.2611,49.0557,48.8446,48.6277,48.4047,48.1753,47.9393,47.6964,47.4461,47.1886,46.9229,46.6489,46.3662,46.0744,45.773,45.4615,45.1395,44.8066,44.4618,44.1046,43.7344,43.3505,42.9523,42.5385,42.1084,41.6611,41.1954,40.7105,40.2046,39.6766,39.125,38.5484,37.9446,37.3117,36.6481,35.9506,35.2174,34.4448,33.6303,32.7696,31.8594,30.8948,29.8704,28.7812,27.6204,26.3806,25.0536,23.629,22.0964,20.4422,18.6517,16.7068,14.5861,12.2639,9.7103,6.8873,3.7474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.19",52.7402,52.629,52.5156,52.3999,52.2818,52.1613,52.0384,51.9128,51.7847,51.6538,51.52,51.3832,51.2435,51.1006,50.9545,50.805,50.652,50.4955,50.3353,50.1711,50.003,49.8308,49.6543,49.4733,49.2878,49.0974,48.902,48.7013,48.4953,48.2836,48.0661,47.8424,47.6124,47.3757,47.132,46.8813,46.6228,46.3563,46.0815,45.7981,45.5054,45.2032,44.8909,44.5682,44.2342,43.8884,43.5303,43.1591,42.7742,42.375,41.9601,41.5289,41.0805,40.6136,40.1275,39.6204,39.0911,38.5384,37.9603,37.355,36.721,36.0556,35.3565,34.6217,33.8474,33.0312,32.1687,31.2566,30.2902,29.2642,28.1729,27.01,25.7679,24.4383,23.0117,21.4766,19.8198,18.0265,16.0788,13.9551,11.6302,9.0735,6.2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
