"h 0","h 0.01","h 0.02","h 0.03","h 0.04","h 0.05","h 0.06","h 0.07","h 0.08","h 0.09","h 0.1","h 0.11","h 0.12","h 0.13","h 0.14","h 0.15","h 0.16","h 0.17","h 0.18","h 0.19","h 0.2","h 0.21","h 0.22","h 0.23","h 0.24","h 0.25","h 0.26","h 0.27","h 0.28","h 0.29","h 0.3","h 0.31","h 0.32","h 0.33","h 0.34","h 0.35","h 0.36","h 0.37","h 0.38","h 0.39","h 0.4","h 0.41","h 0.42","h 0.43","h 0.44","h 0.45","h 0.46","h 0.47","h 0.48","h 0.49","h 0.5","h 0.51","h 0.52","h 0.53","h 0.54","h 0.55","h 0.56","h 0.57","h 0.58","h 0.59","h 0.6","h 0.61","h 0.62","h 0.63","h 0.64","h 0.65","h 0.66","h 0.67","h 0.68","h 0.69","h 0.7","h 0.71","h 0.72","h 0.73","h 0.74","h 0.75","h 0.76","h 0.77","h 0.78","h 0.79","h 0.8","h 0.81","h 0.82","h 0.83","h 0.84","h 0.85","h 0.86","h 0.87","h 0.88","h 0.89","h 0.9","h 0.91","h 0.92","h 0.93","h 0.94","h 0.95","h 0.96","h 0.97","h 0.98","h 0.99","h 1"
"c 0.2",52.1659,52.0544,51.9406,51.8245,51.7061,51.5852,51.4618,51.336,51.2073,51.0759,50.9417,50.8045,50.6643,50.5209,50.3743,50.2244,50.0709,49.9139,49.7531,49.5885,49.4198,49.247,49.0699,48.8885,48.7023,48.5113,48.3153,48.114,47.9074,47.695,47.4768,47.2525,47.0217,46.7843,46.5401,46.2885,46.0292,45.762,45.4864,45.2021,44.9086,44.6055,44.2925,43.9687,43.6337,43.287,42.9279,42.5557,42.17,41.7694,41.3535,40.9212,40.4715,40.0037,39.5161,39.0077,38.4771,37.9231,37.3435,36.7367,36.1013,35.4343,34.7339,33.9971,33.2214,32.4031,31.5391,30.6248,29.6564,28.6283,27.535,26.3699,25.1255,23.7938,22.3644,20.8267,19.1677,17.3717,15.421,13.2942,10.9665,8.4066,5.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.21",51.5651,51.4532,51.339,51.2225,51.1036,50.9823,50.8586,50.7323,50.6032,50.4713,50.3366,50.199,50.0583,49.9145,49.7674,49.6169,49.4629,49.3054,49.1441,48.9789,48.8097,48.6363,48.4588,48.2767,48.0899,47.8982,47.7016,47.4997,47.2923,47.0793,46.8604,46.6354,46.4039,46.1657,45.9208,45.6684,45.4083,45.1403,44.8638,44.5787,44.2843,43.9803,43.6664,43.3417,43.0057,42.658,42.2979,41.9246,41.5378,41.1362,40.7191,40.2856,39.8347,39.3657,38.8768,38.3671,37.8354,37.2797,36.6986,36.0907,35.4534,34.7848,34.0828,33.3443,32.5668,31.7467,30.8808,29.9649,28.994,27.9639,26.8684,25.701,24.4547,23.1202,21.6886,20.1483,18.4866,16.6877,14.7341,12.6047,10.2735,7.7107,4.8769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.22",50.9381,50.8258,50.7112,50.5943,50.475,50.3534,50.2292,50.1023,49.9728,49.8405,49.7053,49.5672,49.426,49.2816,49.134,48.983,48.8286,48.6704,48.5086,48.3428,48.1731,47.9993,47.821,47.6383,47.4508,47.2586,47.0612,46.8587,46.6507,46.437,46.2174,45.9916,45.7594,45.5206,45.2747,45.0215,44.7606,44.4917,44.2145,43.9284,43.6331,43.3284,43.0134,42.6877,42.3507,42.002,41.6408,41.2667,40.8786,40.4758,40.0575,39.6228,39.1709,38.7004,38.2102,37.699,37.166,36.6088,36.0263,35.4168,34.7779,34.1079,33.404,32.6637,31.8845,31.0627,30.1946,29.2767,28.3041,27.2719,26.1741,25.0044,23.7554,22.4188,20.9842,19.4417,17.7768,15.9755,14.0187,11.8866,9.5524,6.9858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.23",50.2855,50.1728,50.0577,49.9404,49.8208,49.6987,49.574,49.4466,49.3166,49.1839,49.0482,48.9096,48.7679,48.623,48.4749,48.3233,48.1683,48.0096,47.8472,47.6809,47.5107,47.3362,47.1573,46.9739,46.7858,46.5929,46.3949,46.1917,45.9829,45.7685,45.5482,45.3216,45.0889,44.8492,44.6025,44.3484,44.0867,43.8169,43.5388,43.2518,42.9558,42.65,42.3339,42.0072,41.6693,41.3195,40.9572,40.582,40.1927,39.7888,39.3693,38.9335,38.4802,38.0083,37.5168,37.0045,36.4697,35.9111,35.3273,34.716,34.0754,33.4038,32.6982,31.9564,31.175,30.3514,29.4816,28.5613,27.5866,26.5522,25.4522,24.2801,23.029,21.6896,20.2528,18.7071,17.0398,15.2356,13.2763,11.1408,8.8035,6.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.24",49.6078,49.4946,49.3793,49.2615,49.1414,49.0187,48.8936,48.7658,48.6353,48.502,48.3659,48.2267,48.0845,47.9391,47.7904,47.6384,47.4828,47.3235,47.1605,46.9937,46.8228,46.6476,46.4681,46.2841,46.0954,45.9017,45.7031,45.4991,45.2897,45.0745,44.8534,44.6263,44.3926,44.1521,43.9046,43.6497,43.3871,43.1164,42.8374,42.5495,42.2526,41.9457,41.6287,41.301,40.9619,40.6111,40.2479,39.8714,39.4809,39.0758,38.655,38.2181,37.7634,37.2902,36.7972,36.2836,35.7473,35.1872,34.6018,33.9889,33.3467,32.6734,31.9659,31.2224,30.4394,29.6135,28.7418,27.8197,26.8425,25.8059,24.7036,23.5296,22.2756,20.934,19.4947,17.9462,16.2761,14.4689,12.507,10.3681,8.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.25",48.9056,48.792,48.6762,48.5579,48.4373,48.3142,48.1886,48.0603,47.9293,47.7955,47.6589,47.5192,47.3764,47.2305,47.0813,46.9286,46.7725,46.6126,46.4492,46.2817,46.1101,45.9343,45.7541,45.5694,45.38,45.1857,44.9864,44.7817,44.5715,44.3556,44.1339,43.9058,43.6713,43.43,43.1816,42.9259,42.6624,42.3908,42.1109,41.8222,41.5241,41.2163,40.8983,40.5695,40.2294,39.8776,39.5132,39.1355,38.7438,38.3374,37.9156,37.4772,37.0212,36.5466,36.0525,35.5371,34.9994,34.438,33.8508,33.2362,32.5926,31.9173,31.2084,30.4626,29.6778,28.8499,27.9761,27.052,26.0731,25.0341,23.9296,22.7527,21.4967,20.1526,18.7106,17.1594,15.4869,13.6767,11.7116,9.5699,7.2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.26",48.1795,48.0654,47.9491,47.8304,47.7093,47.5857,47.4596,47.3308,47.1993,47.065,46.9278,46.7876,46.6443,46.4978,46.348,46.1948,46.038,45.8778,45.7136,45.5454,45.3732,45.1968,45.0159,44.8306,44.6405,44.4455,44.2454,44.04,43.829,43.6125,43.3899,43.161,42.9257,42.6835,42.4343,42.1777,41.9133,41.6408,41.3601,41.0703,40.7712,40.4624,40.1433,39.8135,39.4723,39.1194,38.7538,38.3749,37.982,37.5744,37.1514,36.7116,36.2542,35.7782,35.2827,34.7659,34.2266,33.6637,33.0749,32.459,31.8134,31.1363,30.4256,29.6779,28.8912,28.0617,27.1858,26.2593,25.2781,24.237,23.13,21.9512,20.6923,19.3456,17.9014,16.3475,14.6721,12.8594,10.8912,8.7463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.27",47.43,47.3155,47.1986,47.0795,46.9579,46.8338,46.7072,46.5779,46.4459,46.3111,46.1733,46.0326,45.8888,45.7417,45.5913,45.4375,45.2803,45.1193,44.9544,44.7857,44.6128,44.4357,44.2542,44.0681,43.8773,43.6816,43.4808,43.2746,43.0631,42.8457,42.6223,42.3926,42.1564,41.9134,41.6633,41.4057,41.1404,40.8672,40.5854,40.2946,39.9945,39.6847,39.3645,39.0336,38.6915,38.3373,37.9705,37.5904,37.1963,36.7877,36.3631,35.922,35.4633,34.9861,34.4889,33.9706,33.4301,32.8653,32.2749,31.6573,31.01,30.3314,29.6186,28.8694,28.0804,27.2489,26.371,25.4427,24.4594,23.416,22.3067,21.1251,19.8641,18.5149,17.068,15.5118,13.8331,12.0174,10.0464,7.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.28",46.6579,46.5428,46.4255,46.3059,46.1838,46.0593,45.9321,45.8023,45.6698,45.5344,45.3961,45.2548,45.1104,44.9628,44.8118,44.6576,44.4996,44.338,44.1725,44.0031,43.8296,43.6518,43.4696,43.2828,43.0913,42.8949,42.6933,42.4866,42.2741,42.0559,41.8316,41.6011,41.3641,41.1202,40.8692,40.6108,40.3448,40.0704,39.7876,39.4959,39.1948,38.8838,38.5626,38.2308,37.8874,37.5321,37.1641,36.7828,36.3877,35.9775,35.5517,35.1092,34.6493,34.1706,33.6719,33.1523,32.61,32.0436,31.4519,30.8323,30.1836,29.503,28.7886,28.0372,27.2466,26.4131,25.5328,24.6024,23.6168,22.5712,21.46,20.276,19.0126,17.6608,16.2113,14.6524,12.9713,11.1531,9.1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.29",45.8638,45.7483,45.6305,45.5104,45.3878,45.2627,45.1351,45.0047,44.8717,44.7358,44.5969,44.4551,44.3101,44.1618,44.0104,43.8554,43.6969,43.5346,43.3685,43.1984,43.0242,42.8458,42.6629,42.4754,42.2832,42.086,41.8838,41.6761,41.4629,41.2439,41.0188,40.7875,40.5496,40.3048,40.0529,39.7938,39.5266,39.2514,38.9675,38.6748,38.3726,38.0607,37.7386,37.4055,37.061,36.7044,36.3352,35.953,35.5564,35.145,34.7178,34.2742,33.8127,33.3325,32.8323,32.3113,31.7674,31.1994,30.6061,29.9848,29.3344,28.652,27.9358,27.1829,26.39,25.5545,24.6725,23.7399,22.7523,21.7044,20.5905,19.4045,18.1387,16.7843,15.3323,13.7706,12.0872,10.266,8.2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.3",45.0484,44.9325,44.8142,44.6936,44.5705,44.4449,44.3167,44.1859,44.0523,43.9158,43.7764,43.634,43.4886,43.3398,43.1876,43.032,42.8728,42.7099,42.5431,42.3724,42.1975,42.0183,41.8348,41.6466,41.4536,41.2558,41.0528,40.8443,40.6303,40.4104,40.1846,39.9523,39.7136,39.4679,39.2153,38.9551,38.687,38.4108,38.126,37.8322,37.529,37.2162,36.8928,36.5586,36.2129,35.8552,35.4851,35.1014,34.7035,34.2908,33.8623,33.4174,32.9545,32.4728,31.9715,31.4487,30.9032,30.334,29.7387,29.1161,28.4636,27.7797,27.0614,26.3066,25.5121,24.6743,23.7902,22.8556,21.8657,20.816,19.6999,18.5116,17.2433,15.8865,14.4318,12.868,11.1818,9.3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.31",44.2127,44.0962,43.9775,43.8563,43.7328,43.6066,43.4779,43.3465,43.2124,43.0754,42.9354,42.7925,42.6464,42.497,42.3442,42.188,42.0281,41.8646,41.6972,41.5258,41.3502,41.1704,40.9861,40.7971,40.6036,40.4049,40.2011,39.9919,39.777,39.5564,39.3296,39.0966,38.8569,38.6106,38.3569,38.0957,37.8267,37.5495,37.2637,36.9689,36.6649,36.3508,36.0264,35.691,35.3442,34.9853,34.614,34.229,33.8299,33.4159,32.9863,32.5398,32.0755,31.5927,31.0897,30.5653,30.0186,29.4475,28.8505,28.2263,27.572,26.8864,26.1666,25.4096,24.6132,23.7738,22.8877,21.951,20.959,19.9067,18.7888,17.5982,16.3275,14.9688,13.5116,11.9452,10.2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.32",43.3573,43.2403,43.1211,42.9994,42.8753,42.7487,42.6194,42.4875,42.3528,42.2154,42.0748,41.9312,41.7845,41.6345,41.4811,41.3243,41.1638,40.9996,40.8315,40.6594,40.4832,40.3026,40.1176,39.9281,39.7337,39.5343,39.3297,39.1196,38.904,38.6825,38.4549,38.221,37.9807,37.7333,37.4787,37.2166,36.9466,36.6684,36.3816,36.086,35.7807,35.4656,35.14,34.8036,34.4556,34.0958,33.7231,33.3369,32.9365,32.5214,32.0903,31.6424,31.177,30.6925,30.188,29.6624,29.1139,28.5412,27.9429,27.3166,26.6611,25.9733,25.2518,24.4933,23.695,22.8532,21.9652,21.0268,20.0328,18.9784,17.8582,16.6654,15.3924,14.0312,12.5721,11.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.33",42.4831,42.3656,42.2458,42.1237,41.9991,41.8719,41.7421,41.6096,41.4745,41.3364,41.1953,41.0511,40.9038,40.7531,40.5991,40.4417,40.2805,40.1157,39.9469,39.7741,39.5972,39.4161,39.2304,39.0401,38.8449,38.6447,38.4393,38.2285,38.012,37.7897,37.5613,37.3267,37.0853,36.837,36.5815,36.3185,36.0475,35.7683,35.4807,35.1839,34.8776,34.5614,34.2348,33.8972,33.5483,33.1871,32.8132,32.4257,32.0244,31.6078,31.1753,30.726,30.2593,29.7734,29.2674,28.7404,28.1903,27.6163,27.0162,26.3886,25.731,25.0419,24.3185,23.5579,22.7577,21.9145,21.0245,20.0837,19.088,18.0315,16.9092,15.7142,14.4394,13.076,11.6144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.34",41.5909,41.4729,41.3526,41.23,41.1048,40.9771,40.847,40.7139,40.5781,40.4394,40.2977,40.153,40.005,39.8538,39.6992,39.541,39.3793,39.2138,39.0443,38.8709,38.6934,38.5115,38.3251,38.134,37.938,37.7371,37.5309,37.3193,37.102,36.8789,36.6498,36.4142,36.172,35.9228,35.6663,35.4023,35.1304,34.8505,34.5617,34.2639,33.9565,33.6392,33.3115,32.9731,32.6228,32.2605,31.8853,31.4969,31.0941,30.6762,30.2424,29.7921,29.3237,28.8363,28.3292,27.8004,27.2492,26.6734,26.0719,25.4424,24.7835,24.0923,23.3672,22.6052,21.8032,20.9581,20.0662,19.1235,18.1254,17.0673,15.9429,14.7457,13.4688,12.1036,10.6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.35",40.6816,40.5632,40.4424,40.3192,40.1935,40.0655,39.9346,39.801,39.6646,39.5254,39.3831,39.2377,39.0892,38.9374,38.7821,38.6233,38.4609,38.2948,38.1248,37.9507,37.7724,37.5898,37.4026,37.2108,37.0141,36.8124,36.6054,36.393,36.1751,35.9512,35.7211,35.4846,35.2415,34.9914,34.734,34.4691,34.1965,33.9154,33.6256,33.3267,33.0184,32.7,32.3715,32.0317,31.6803,31.3168,30.9407,30.5508,30.1468,29.7276,29.2928,28.8409,28.3711,27.8827,27.3739,26.8439,26.2909,25.7135,25.1106,24.4798,23.8189,23.1265,22.3997,21.6355,20.8318,19.9849,19.0915,18.147,17.1469,16.0868,14.9604,13.7617,12.4827,11.1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.36",39.7562,39.6373,39.516,39.3924,39.2662,39.1375,39.0061,38.872,38.735,38.5952,38.4523,38.3064,38.1572,38.0048,37.8489,37.6895,37.5264,37.3598,37.1891,37.0143,36.8353,36.6519,36.464,36.2715,36.074,35.8715,35.6638,35.4508,35.232,35.0072,34.7763,34.5389,34.2949,34.0439,33.7856,33.52,33.2463,32.9642,32.6734,32.3735,32.0644,31.745,31.4151,31.0742,30.7217,30.3573,29.9798,29.5888,29.1835,28.7634,28.327,27.8738,27.403,26.9129,26.4027,25.8714,25.3168,24.7384,24.1335,23.5012,22.8391,22.1447,21.4162,20.6508,19.8453,18.9967,18.1011,17.1551,16.1537,15.0913,13.9634,12.7627,11.4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.37",38.8156,38.6963,38.5746,38.4503,38.3236,38.1943,38.0624,37.9277,37.7902,37.6498,37.5064,37.3598,37.2101,37.057,36.9005,36.7407,36.577,36.4095,36.2381,36.0626,35.8829,35.6989,35.5103,35.317,35.1188,34.9155,34.7073,34.4933,34.2736,34.0481,33.8163,33.5781,33.3332,33.0816,32.8224,32.5557,32.281,31.9979,31.7062,31.4055,31.0951,30.7747,30.4438,30.1018,29.7485,29.3827,29.004,28.6118,28.2056,27.784,27.3464,26.8922,26.4198,25.9283,25.4171,24.884,24.3285,23.7482,23.1422,22.5084,21.8444,21.1488,20.4187,19.6516,18.8446,17.9942,17.097,16.1493,15.1461,14.0823,12.9521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.38",37.861,37.7411,37.6188,37.494,37.3668,37.237,37.1045,36.9693,36.8312,36.6902,36.5462,36.3991,36.2487,36.095,35.9381,35.7775,35.6132,35.445,35.273,35.0968,34.9164,34.7317,34.5424,34.3483,34.1496,33.9457,33.7364,33.5217,33.3012,33.0748,32.8422,32.6032,32.3577,32.105,31.8449,31.5773,31.3016,31.0176,30.7252,30.4233,30.1119,29.7905,29.4585,29.1157,28.7611,28.3942,28.0143,27.6213,27.2136,26.7908,26.3523,25.8965,25.4228,24.9305,24.4175,23.8835,23.3262,22.7448,22.137,21.5018,20.8367,20.1396,19.408,18.6394,17.8307,16.9787,16.0799,15.1305,14.1256,13.0601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.39",36.893,36.7726,36.6498,36.5245,36.3968,36.2664,36.1334,35.9976,35.859,35.7174,35.5729,35.4251,35.2744,35.1201,34.9624,34.8012,34.6362,34.4674,34.2947,34.1179,33.9368,33.7514,33.5616,33.3668,33.1672,32.9625,32.7525,32.5369,32.3157,32.0885,31.8553,31.6155,31.3689,31.1153,30.8544,30.5858,30.3093,30.0246,29.731,29.4282,29.1158,28.7933,28.4606,28.1165,27.7608,27.3928,27.0122,26.6177,26.2089,25.7852,25.3452,24.8882,24.4136,23.9196,23.4058,22.8701,22.3118,21.7287,21.12,20.4833,19.8168,19.1178,18.3848,17.6146,16.8049,15.9514,15.0515,14.1005,13.0941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.4",35.9129,35.7919,35.6686,35.5429,35.4146,35.2837,35.1502,35.0138,34.8747,34.7325,34.5876,34.4393,34.2878,34.1329,33.9746,33.8127,33.6471,33.4777,33.3043,33.1269,32.9451,32.7592,32.5685,32.3731,32.1727,31.9673,31.7565,31.5402,31.3182,31.0904,30.8563,30.6156,30.3682,30.1138,29.852,29.5828,29.3053,29.0195,28.7249,28.4212,28.1081,27.7847,27.4507,27.1056,26.7491,26.3801,25.9981,25.6025,25.1929,24.7678,24.3266,23.8688,23.3927,22.8978,22.3824,21.8458,21.2858,20.7019,20.0918,19.4534,18.7855,18.0856,17.3512,16.5796,15.7685,14.9135,14.0122,13.0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.41",34.9216,34.8002,34.6764,34.5501,34.4213,34.2899,34.1558,34.019,33.8794,33.7368,33.5911,33.4422,33.2901,33.1347,32.9758,32.8133,32.647,32.477,32.303,32.125,31.9427,31.7559,31.5645,31.3684,31.1673,30.9611,30.7496,30.5328,30.31,30.0813,29.8463,29.6049,29.3566,29.1013,28.839,28.5687,28.2904,28.0037,27.7082,27.4038,27.0895,26.7651,26.4302,26.0844,25.7266,25.3565,24.9735,24.5772,24.1662,23.7403,23.298,22.8387,22.3618,21.8654,21.3492,20.811,20.2502,19.665,19.0533,18.414,17.7449,17.0437,16.3079,15.5355,14.7226,13.8668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.42",33.9203,33.7984,33.6741,33.5473,33.418,33.2861,33.1517,33.0143,32.874,32.7308,32.5846,32.4352,32.2825,32.1265,31.9669,31.8038,31.637,31.4665,31.2919,31.1131,30.9301,30.7427,30.5506,30.3538,30.152,29.9451,29.7331,29.5154,29.2919,29.0624,28.8266,28.5844,28.3356,28.0795,27.8161,27.545,27.2658,26.9782,26.6821,26.3766,26.0614,25.7361,25.4005,25.0534,24.6947,24.3239,23.9399,23.5423,23.1305,22.7033,22.2599,21.7999,21.3215,20.8244,20.3066,19.7677,19.2058,18.619,18.0065,17.3661,16.6958,15.9933,15.2564,14.4827,13.6686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.43",32.91,32.7876,32.6628,32.5356,32.406,32.2735,32.1384,32.0005,31.8597,31.716,31.5692,31.4192,31.266,31.1094,30.9493,30.7858,30.6184,30.4471,30.2719,30.0925,29.9088,29.7207,29.528,29.3305,29.1283,28.9207,28.7078,28.4893,28.2651,28.0348,27.7983,27.5556,27.3058,27.0489,26.7847,26.5127,26.233,25.9446,25.6474,25.341,25.0252,24.699,24.3622,24.0142,23.6549,23.2829,22.8979,22.4996,22.0865,21.6582,21.2142,20.7528,20.2738,19.7752,19.2568,18.7168,18.1534,17.5659,16.9524,16.3108,15.6394,14.9358,14.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.44",31.8919,31.769,31.6439,31.5162,31.3859,31.253,31.1174,30.979,30.8377,30.6934,30.546,30.3955,30.2417,30.0848,29.9241,29.7599,29.5919,29.42,29.2441,29.0641,28.8798,28.6911,28.4979,28.2998,28.0967,27.8885,27.6749,27.4557,27.2308,27.0001,26.7629,26.5191,26.2686,26.011,25.7459,25.4735,25.1927,24.9035,24.6054,24.2985,23.9816,23.6545,23.3168,22.9683,22.6077,22.2348,21.8493,21.4497,21.036,20.6068,20.1618,19.6995,19.2195,18.7199,18.2005,17.6595,17.0951,16.5066,15.892,15.2495,14.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.45",30.8672,30.7439,30.6182,30.49,30.3592,30.2258,30.0897,29.9508,29.809,29.6642,29.5163,29.3654,29.2111,29.0534,28.8922,28.7274,28.5588,28.3864,28.2099,28.0293,27.8446,27.6553,27.4613,27.2625,27.0588,26.8499,26.6356,26.416,26.1904,25.9588,25.7209,25.4764,25.2251,24.967,24.7013,24.4278,24.1463,23.8562,23.5578,23.2497,22.932,22.6044,22.2659,21.9162,21.5551,21.1814,20.7946,20.3945,19.9796,19.5499,19.1036,18.6407,18.1594,17.6594,17.139,16.5967,16.0318,15.4424,14.8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.46",29.8368,29.713,29.5869,29.4582,29.327,29.1931,29.0565,28.917,28.7747,28.6296,28.4813,28.3297,28.1749,28.0166,27.8549,27.6895,27.5204,27.3473,27.1703,26.9894,26.8039,26.6139,26.4194,26.22,26.0156,25.806,25.5914,25.371,25.1447,24.9124,24.6738,24.4289,24.177,23.9179,23.6514,23.3772,23.0952,22.8045,22.5049,22.1961,21.878,21.5493,21.21,20.8599,20.4977,20.1231,19.7359,19.3346,18.9193,18.4883,18.0416,17.5775,17.0958,16.5949,16.0733,15.5305,14.9648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.47",28.8019,28.6777,28.5511,28.422,28.2903,28.1559,28.0188,27.8792,27.7364,27.5906,27.4417,27.2897,27.1343,26.9756,26.8133,26.6473,26.4779,26.3044,26.1268,25.9451,25.759,25.5685,25.3733,25.1733,24.9686,24.7585,24.543,24.3219,24.095,23.862,23.6231,23.3773,23.1247,22.8649,22.5981,22.3232,22.0402,21.7488,21.4488,21.1393,20.8201,20.4911,20.1511,19.7998,19.4372,19.0619,18.6736,18.2719,17.8554,17.4241,16.9767,16.5118,16.0293,15.5277,15.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.48",27.7638,27.6392,27.5121,27.3825,27.2504,27.1158,26.9783,26.8379,26.6947,26.5484,26.3991,26.2465,26.0906,25.9314,25.7688,25.6024,25.4322,25.2582,25.0801,24.8978,24.7112,24.5201,24.3246,24.1241,23.9186,23.7079,23.4918,23.27,23.0428,22.8093,22.5694,22.323,22.0698,21.8097,21.542,21.2664,20.9828,20.691,20.3901,20.0799,19.7603,19.4303,19.0896,18.738,18.3744,17.9988,17.6097,17.2074,16.7902,16.3582,15.9097,15.4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.49",26.7235,26.5984,26.4712,26.3412,26.2086,26.0734,25.9354,25.7946,25.6509,25.5042,25.3544,25.2013,25.0453,24.8855,24.7223,24.5554,24.3847,24.2101,24.0315,23.8487,23.6618,23.4702,23.274,23.0729,22.8668,22.6556,22.4392,22.217,21.9889,21.7548,21.5143,21.2676,21.0138,20.7529,20.4845,20.2087,19.9244,19.6317,19.3305,19.0197,18.6992,18.3689,18.0276,17.675,17.3112,16.9345,16.5453,16.1419,15.7245,15.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.5",25.6825,25.557,25.4291,25.2987,25.1658,25.0301,24.8917,24.7505,24.6063,24.4592,24.3091,24.1557,23.9989,23.8387,23.675,23.5076,23.3365,23.1614,22.9826,22.7993,22.6117,22.4196,22.2228,22.0212,21.8149,21.6032,21.386,21.1632,20.9346,20.7002,20.4593,20.2118,19.9574,19.6962,19.4273,19.1506,18.8658,18.5729,18.2708,17.9597,17.6387,17.3074,16.9659,16.6128,16.2484,15.8712,15.4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.51",24.6414,24.5156,24.3873,24.2565,24.1231,23.9871,23.8483,23.7069,23.5623,23.4147,23.2641,23.1102,22.953,22.7923,22.6282,22.4606,22.289,22.1135,21.934,21.7502,21.5621,21.3695,21.1726,20.9706,20.7635,20.5512,20.3336,20.1106,19.8815,19.6464,19.4049,19.1572,18.9023,18.6403,18.3709,18.094,17.8087,17.515,17.2127,16.9008,16.5796,16.2479,15.9055,15.5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
