"","x"
"1",1774.60657204452
"2",1774.29635103154
"3",1773.92116607603
"4",1773.54065743571
"5",1773.37738039598
"6",1774.2000641524
"7",1774.10018242489
"8",1773.71288980395
"9",1773.36649931597
"10",1772.9486342154
"11",1773.6144817327
"12",1774.49656169449
"13",1774.1444302162
"14",1773.77869658764
"15",1773.39576145779
"16",1773.56392326699
"17",1774.39270364195
"18",1774.23597953605
"19",1773.8497181131
"20",1773.49286246636
"21",1773.04976472548
"22",1773.76406663882
"23",1774.65762446463
"24",1774.24890171697
"25",1773.877095927
"26",1773.47702245066
"27",1773.96374467024
"28",1774.79078885763
"29",1774.56628880076
"30",1774.16884193338
"31",1773.78995802839
"32",1773.31069355455
"33",1774.06680263823
"34",1774.61916527099
"35",1774.21133798081
"36",1773.8421464618
"37",1773.43059651365
"38",1773.96841621383
"39",1774.80371760683
"40",1774.53069292916
"41",1774.13989143633
"42",1773.75595877068
"43",1773.2566385222
"44",1774.07323580255
"45",1774.30278007601
"46",1773.90920523398
"47",1773.55513895388
"48",1773.1439485173
"49",1773.74735484553
"50",1774.60657204452
"51",1774.29635103154
"52",1773.92116607603
"53",1773.54065743571
"54",1773.37738039598
"55",1774.2000641524
"56",1774.10018242489
"57",1773.71288980395
"58",1773.36649931597
"59",1772.9486342154
"60",1773.6144817327
"61",1774.49656169449
"62",1774.1444302162
"63",1773.77869658764
"64",1773.39576145779
"65",1773.56392326699
"66",1774.39270364195
"67",1774.23597953605
"68",1773.8497181131
"69",1773.49286246636
"70",1773.04976472548
"71",1773.76406663882
"72",1774.65762446463
"73",1774.24890171697
"74",1773.877095927
"75",1773.47702245066
"76",1773.96374467024
"77",1774.79078885763
"78",1774.56628880076
"79",1774.16884193338
"80",1773.78995802839
"81",1773.31069355455
"82",1774.06680263823
"83",1774.61916527099
"84",1774.21133798081
"85",1773.8421464618
"86",1773.43059651365
"87",1773.96841621383
"88",1774.80371760683
"89",1774.53069292916
"90",1774.13989143633
"91",1773.75595877068
"92",1773.2566385222
"93",1774.07323580255
"94",1774.30278007601
"95",1773.90920523398
"96",1773.55513895388
"97",1773.1439485173
"98",1773.74735484553
"99",1774.60657204452
"100",1774.29635103154
"101",1773.92116607603
"102",1773.54065743571
"103",1773.37738039598
"104",1774.2000641524
"105",1774.10018242489
"106",1773.71288980395
"107",1773.36649931597
"108",1772.9486342154
"109",1773.6144817327
"110",1774.49656169449
"111",1774.1444302162
"112",1773.77869658764
"113",1773.39576145779
"114",1773.56392326699
