"","x"
"390",1029.55061538051
"391",1019.40084141008
"392",1013.08529926647
"393",1010.8874408943
"394",1013.13158421843
"395",1020.17975432095
"396",1032.42869395752
"397",1050.30370093757
"398",1074.24730054393
"399",1104.70055208285
"400",1142.07459052357
"401",1179.76294289822
"402",1217.31288329708
"403",1254.59832387882
"404",1291.53152805498
"405",1328.03140904573
"406",1364.02109669744
"407",1399.42824945021
"408",1434.18554696618
"409",1468.23111850737
"410",1501.50888109823
"411",1533.96878405905
"412",1558.82937502558
"413",1577.2926378361
"414",1589.63539898381
"415",1596.21917538139
"416",1597.51011187116
"417",1594.05260013187
"418",1586.44029822615
"419",1575.28945812784
"420",1561.21582844456
"421",1544.81560822013
"422",1526.65049079377
"423",1509.85813191014
"424",1493.92318172044
"425",1478.45959004956
"426",1463.416225201
"427",1448.73882661038
"428",1434.37484534225
"429",1420.27347662319
"430",1406.38527893589
"431",1392.66177073511
"432",1379.0550327409
"433",1365.51731172347
"434",1352.00061873369
"435",1338.69313054213
"436",1325.58237947626
"437",1312.62670524792
"438",1299.78503088716
"439",1287.0165637881
"440",1274.28049271042
"441",1261.53567910728
"442",1248.74033770414
"443",1235.85170057598
"444",1222.82565830097
"445",1209.61637087587
"446",1196.1758398925
"447",1182.45343191825
"448",1168.39534099362
"449",1153.9439755142
"450",1139.03725130785
"451",1123.60776817687
"452",1107.58184116744
"453",1090.87834980774
"454",1073.40735773416
"455",1055.06844034765
"456",1038.63175397941
"457",1026.03359362745
"458",1017.12179433449
"459",1012.13571020343
"460",1011.37254351821
"461",1015.16929698979
"462",1023.89995230427
"463",1037.97161066739
"464",1057.81682749653
"465",1083.88008258434
"466",1116.59609481622
"467",1154.0844592496
"468",1191.73858991192
"469",1229.21365204676
"470",1266.39595211742
"471",1303.19982049128
"472",1339.54544532312
"473",1375.35733663577
"474",1410.56469886513
"475",1445.1019038372
"476",1478.90889075523
"477",1511.93147459505
"478",1541.84948119582
"479",1564.60175780475
"480",1581.03402094132
"481",1591.45492852855
"482",1596.26336392
"483",1595.95405396151
"484",1591.09020606292
"485",1582.27516891246
"486",1570.12687355056
"487",1555.25605442588
"488",1538.24856989588
"489",1520.04723285752
"490",1503.81678224251
"491",1488.07977492113
"492",1472.79716738456
"493",1457.91441347675
"494",1443.37782167701
"495",1429.13561938769
"496",1415.1376520015
