"","x"
"1",1562.30631026324
"2",1562.30631026324
"3",1562.30631026324
"4",1562.30631026324
"5",1562.30631026324
"6",1562.30631026324
"7",1562.30631026324
"8",1562.30631026324
"9",1562.30631026324
"10",1562.30631026324
"11",1562.30631026324
"12",1562.30631026324
"13",1562.30631026324
"14",1562.30631026324
"15",1562.30631026324
"16",1562.30631026324
"17",1562.30631026324
"18",1562.30631026324
"19",1562.30631026324
"20",1562.30631026324
"21",1562.30631026324
"22",1562.30631026324
"23",1562.30631026324
"24",1562.30631026324
"25",1562.30631026324
"26",1562.30631026324
"27",1562.30631026324
"28",1562.30631026324
"29",1562.30631026324
"30",1562.30631026324
"31",1562.30631026324
"32",1562.30631026324
"33",1562.30631026324
"34",1562.30631026324
"35",1562.30631026324
"36",1562.30631026324
"37",1562.30631026324
"38",1562.30631026324
"39",1562.30631026324
"40",1562.30631026324
"41",1562.30631026324
"42",1562.30631026324
"43",1562.30631026324
"44",1562.30631026324
"45",1562.30631026324
"46",1562.30631026324
"47",1562.30631026324
"48",1562.30631026324
"49",1562.30631026324
"50",1562.30631026324
"51",1562.30631026324
"52",1562.30631026324
"53",1562.30631026324
"54",1562.30631026324
"55",1562.30631026324
"56",1562.30631026324
"57",1562.30631026324
"58",1562.30631026324
"59",1562.30631026324
"60",1562.30631026324
"61",1562.30631026324
"62",1562.30631026324
"63",1562.30631026324
"64",1562.30631026324
"65",1562.30631026324
"66",1562.30631026324
"67",1562.30631026324
"68",1562.30631026324
"69",1562.30631026324
"70",1562.30631026324
"71",1562.30631026324
"72",1562.30631026324
"73",1562.30631026324
"74",1562.30631026324
"75",1562.30631026324
"76",1562.30631026324
"77",1562.30631026324
"78",1562.30631026324
"79",1562.30631026324
"80",1562.30631026324
"81",1562.30631026324
"82",1562.30631026324
"83",1562.30631026324
"84",1562.30631026324
"85",1562.30631026324
"86",1562.30631026324
"87",1562.30631026324
"88",1562.30631026324
"89",1562.30631026324
"90",1562.30631026324
"91",1562.30631026324
"92",1562.30631026324
"93",1562.30631026324
"94",1562.30631026324
"95",1562.30631026324
"96",1562.30631026324
"97",1562.30631026324
"98",1562.30631026324
"99",1562.30631026324
"100",1562.30631026324
"101",1562.30631026324
"102",1562.30631026324
"103",1562.30631026324
"104",1562.30631026324
"105",1562.30631026324
"106",1562.30631026324
"107",1562.30631026324
"108",1562.30631026324
"109",1562.30631026324
"110",1562.30631026324
"111",1562.30631026324
"112",1562.30631026324
"113",1562.30631026324
"114",1562.30631026324
"115",1562.30631026324
"116",1562.30631026324
"117",1562.30631026324
"118",1562.30631026324
"119",1562.30631026324
"120",1562.30631026324
"121",1562.30631026324
"122",1562.30631026324
"123",1562.30631026324
"124",1562.30631026324
"125",1562.30631026324
"126",1562.30631026324
"127",1562.30631026324
"128",1562.30631026324
"129",1562.30631026324
"130",1562.30631026324
"131",1562.30631026324
"132",1562.30631026324
"133",1562.30631026324
"134",1562.30631026324
"135",1562.30631026324
"136",1562.30631026324
"137",1562.30631026324
"138",1562.30631026324
"139",1562.30631026324
"140",1562.30631026324
"141",1562.30631026324
"142",1562.30631026324
"143",1562.30631026324
"144",1562.30631026324
"145",1562.30631026324
"146",1562.30631026324
"147",1562.30631026324
"148",1562.30631026324
"149",1562.30631026324
"150",1562.30631026324
"151",1562.30631026324
"152",1562.30631026324
"153",1562.30631026324
"154",1562.30631026324
"155",1562.30631026324
"156",1562.30631026324
"157",1562.30631026324
"158",1562.30631026324
"159",1562.30631026324
"160",1562.30631026324
"161",1562.30631026324
"162",1562.30631026324
"163",1562.30631026324
"164",1562.30631026324
"165",1562.30631026324
"166",1562.30631026324
"167",1562.30631026324
"168",1562.30631026324
"169",1562.30631026324
"170",1562.30631026324
"171",1562.30631026324
"172",1562.30631026324
"173",1562.30631026324
"174",1562.30631026324
"175",1562.30631026324
"176",1562.30631026324
"177",1562.30631026324
"178",1562.30631026324
"179",1562.30631026324
"180",1562.30631026324
"181",1562.30631026324
"182",1562.30631026324
"183",1562.30631026324
"184",1562.30631026324
"185",1562.30631026324
"186",1562.30631026324
"187",1562.30631026324
"188",1562.30631026324
"189",1562.30631026324
"190",1562.30631026324
"191",1562.30631026324
"192",1562.30631026324
"193",1562.30631026324
"194",1562.30631026324
"195",1562.30631026324
"196",1562.30631026324
"197",1562.30631026324
"198",1562.30631026324
"199",1562.30631026324
"200",1562.30631026324
"201",1562.30631026324
"202",1562.30631026324
"203",1562.30631026324
"204",1562.30631026324
"205",1562.30631026324
"206",1562.30631026324
"207",1562.30631026324
"208",1562.30631026324
"209",1562.30631026324
"210",1562.30631026324
"211",1562.30631026324
"212",1562.30631026324
"213",1562.30631026324
"214",1562.30631026324
"215",1562.30631026324
"216",1562.30631026324
"217",1562.30631026324
"218",1562.30631026324
"219",1562.30631026324
"220",1562.30631026324
"221",1562.30631026324
"222",1562.30631026324
"223",1562.30631026324
"224",1562.30631026324
"225",1562.30631026324
"226",1562.30631026324
"227",1562.30631026324
"228",1562.30631026324
"229",1562.30631026324
"230",1562.30631026324
"231",1562.30631026324
"232",1562.30631026324
"233",1562.30631026324
"234",1562.30631026324
"235",1562.30631026324
"236",1562.30631026324
"237",1562.30631026324
"238",1562.30631026324
"239",1562.30631026324
"240",1562.30631026324
"241",1562.30631026324
"242",1562.30631026324
"243",1562.30631026324
"244",1562.30631026324
"245",1562.30631026324
"246",1562.30631026324
"247",1562.30631026324
"248",1562.30631026324
"249",1562.30631026324
"250",1562.30631026324
"251",1562.30631026324
"252",1562.30631026324
"253",1562.30631026324
"254",1562.30631026324
"255",1562.30631026324
"256",1562.30631026324
"257",1562.30631026324
"258",1562.30631026324
"259",1562.30631026324
"260",1562.30631026324
"261",1562.30631026324
"262",1562.30631026324
"263",1562.30631026324
"264",1562.30631026324
"265",1562.30631026324
"266",1562.30631026324
"267",1562.30631026324
"268",1562.30631026324
"269",1562.30631026324
"270",1562.30631026324
"271",1562.30631026324
"272",1562.30631026324
"273",1562.30631026324
"274",1562.30631026324
"275",1562.30631026324
"276",1562.30631026324
"277",1562.30631026324
"278",1562.30631026324
"279",1562.30631026324
"280",1562.30631026324
"281",1562.30631026324
"282",1562.30631026324
"283",1562.30631026324
"284",1562.30631026324
"285",1562.30631026324
"286",1562.30631026324
"287",1562.30631026324
"288",1562.30631026324
"289",1562.30631026324
"290",1562.30631026324
"291",1562.30631026324
"292",1562.30631026324
"293",1562.30631026324
"294",1562.30631026324
"295",1562.30631026324
"296",1562.30631026324
"297",1562.30631026324
"298",1562.30631026324
"299",1562.30631026324
"300",1562.30631026324
"301",1562.30631026324
"302",1562.30631026324
"303",1562.30631026324
"304",1562.30631026324
"305",1562.30631026324
"306",1562.30631026324
"307",1562.30631026324
"308",1562.30631026324
"309",1562.30631026324
"310",1562.30631026324
"311",1562.30631026324
"312",1562.30631026324
"313",1562.30631026324
"314",1562.30631026324
"315",1562.30631026324
"316",1562.30631026324
"317",1562.30631026324
"318",1562.30631026324
"319",1562.30631026324
"320",1562.30631026324
"321",1562.30631026324
"322",1562.30631026324
"323",1562.30631026324
"324",1562.30631026324
"325",1562.30631026324
"326",1562.30631026324
"327",1562.30631026324
"328",1562.30631026324
"329",1562.30631026324
"330",1562.30631026324
"331",1562.30631026324
"332",1562.30631026324
"333",1562.30631026324
"334",1562.30631026324
"335",1562.30631026324
"336",1562.30631026324
"337",1562.30631026324
"338",1562.30631026324
"339",1562.30631026324
"340",1562.30631026324
"341",1562.30631026324
"342",1562.30631026324
"343",1562.30631026324
"344",1562.30631026324
"345",1562.30631026324
"346",1562.30631026324
"347",1562.30631026324
"348",1562.30631026324
"349",1562.30631026324
"350",1562.30631026324
"351",1562.30631026324
"352",1562.30631026324
"353",1562.30631026324
"354",1562.30631026324
"355",1562.30631026324
"356",1562.30631026324
"357",1562.30631026324
"358",1562.30631026324
"359",1562.30631026324
"360",1562.30631026324
"361",1562.30631026324
"362",1562.30631026324
"363",1562.30631026324
"364",1562.30631026324
"365",1562.30631026324
"366",1562.30631026324
"367",1562.30631026324
"368",1562.30631026324
"369",1562.30631026324
"370",1562.30631026324
"371",1562.30631026324
"372",1562.30631026324
"373",1562.30631026324
"374",1562.30631026324
"375",1562.30631026324
"376",1562.30631026324
"377",1562.30631026324
"378",1562.30631026324
"379",1562.30631026324
"380",1562.30631026324
"381",1562.30631026324
"382",1562.30631026324
"383",1562.30631026324
"384",1562.30631026324
"385",1562.30631026324
"386",1562.30631026324
"387",1562.30631026324
"388",1562.30631026324
"389",1562.30631026324
"390",1562.30631026324
"391",1562.30631026324
"392",1562.30631026324
"393",1562.30631026324
"394",1562.30631026324
"395",1562.30631026324
"396",1562.30631026324
"397",1562.30631026324
"398",1562.30631026324
"399",1562.30631026324
"400",1562.30631026324
"401",1562.30631026324
"402",1562.30631026324
"403",1562.30631026324
"404",1562.30631026324
"405",1562.30631026324
"406",1562.30631026324
"407",1562.30631026324
"408",1562.30631026324
"409",1562.30631026324
"410",1562.30631026324
"411",1562.30631026324
"412",1562.30631026324
"413",1562.30631026324
"414",1562.30631026324
"415",1562.30631026324
"416",1562.30631026324
"417",1562.30631026324
"418",1562.30631026324
"419",1562.30631026324
"420",1562.30631026324
"421",1562.30631026324
"422",1562.30631026324
"423",1562.30631026324
"424",1562.30631026324
"425",1562.30631026324
"426",1562.30631026324
"427",1562.30631026324
"428",1562.30631026324
"429",1562.30631026324
"430",1562.30631026324
"431",1562.30631026324
"432",1562.30631026324
"433",1562.30631026324
"434",1562.30631026324
"435",1562.30631026324
"436",1562.30631026324
"437",1562.30631026324
"438",1562.30631026324
"439",1562.30631026324
"440",1562.30631026324
"441",1562.30631026324
"442",1562.30631026324
"443",1562.30631026324
"444",1562.30631026324
"445",1562.30631026324
"446",1562.30631026324
"447",1562.30631026324
"448",1562.30631026324
"449",1562.30631026324
"450",1562.30631026324
"451",1562.30631026324
"452",1562.30631026324
"453",1562.30631026324
"454",1562.30631026324
"455",1562.30631026324
"456",1562.30631026324
"457",1562.30631026324
"458",1562.30631026324
"459",1562.30631026324
"460",1562.30631026324
"461",1562.30631026324
"462",1562.30631026324
"463",1562.30631026324
"464",1562.30631026324
"465",1562.30631026324
"466",1562.30631026324
"467",1562.30631026324
"468",1562.30631026324
"469",1562.30631026324
"470",1562.30631026324
"471",1562.30631026324
"472",1562.30631026324
"473",1562.30631026324
"474",1562.30631026324
"475",1562.30631026324
"476",1562.30631026324
"477",1562.30631026324
"478",1562.30631026324
"479",1562.30631026324
"480",1562.30631026324
"481",1562.30631026324
"482",1562.30631026324
"483",1562.30631026324
"484",1562.30631026324
"485",1562.30631026324
"486",1562.30631026324
"487",1562.30631026324
"488",1562.30631026324
"489",1562.30631026324
"490",1562.30631026324
"491",1562.30631026324
"492",1562.30631026324
"493",1562.30631026324
"494",1562.30631026324
"495",1562.30631026324
"496",1562.30631026324
"497",1562.30631026324
"498",1562.30631026324
"499",1562.30631026324
"500",1562.30631026324
"501",1562.30631026324
"502",1562.30631026324
"503",1562.30631026324
"504",1562.30631026324
"505",1562.30631026324
"506",1562.30631026324
"507",1562.30631026324
"508",1562.30631026324
"509",1562.30631026324
"510",1562.30631026324
"511",1562.30631026324
"512",1562.30631026324
"513",1562.30631026324
"514",1562.30631026324
"515",1562.30631026324
"516",1562.30631026324
"517",1562.30631026324
"518",1562.30631026324
"519",1562.30631026324
"520",1562.30631026324
"521",1562.30631026324
"522",1562.30631026324
"523",1562.30631026324
"524",1562.30631026324
"525",1562.30631026324
"526",1562.30631026324
"527",1562.30631026324
"528",1562.30631026324
"529",1562.30631026324
"530",1562.30631026324
"531",1562.30631026324
"532",1562.30631026324
"533",1562.30631026324
"534",1562.30631026324
"535",1562.30631026324
"536",1562.30631026324
"537",1562.30631026324
"538",1562.30631026324
"539",1562.30631026324
"540",1562.30631026324
"541",1562.30631026324
"542",1562.30631026324
"543",1562.30631026324
